行ID,角色,类别,文本,音频,时长秒
prologue_bridge.clue.03,旁白,调查线索,桥栏磨出了孩子手掌的高度。送别的人总在这里等，直到远处有人挥手。,旁白/prologue_bridge_clue_03.wav,5.76
prologue_bridge.outro.01,旁白,事件结语,你把平安收入檐下谱，桥栏重新染上旧木的暖色。雾后露出一条山路，路尽头的社庙正传来细弱的咳声。,旁白/prologue_bridge_outro.wav,9.16
temple_incense.clue.01,旁白,调查线索,倾倒香炉下有一圈新旧不同的灰。有人在村子渐空后仍回来看过。,旁白/temple_incense_clue_01.wav,5.56
temple_incense.clue.02,旁白,调查线索,三道榫口由浅至深分布，先左、再中、最后右。受力靠咬合，而不靠把木头硬钉在一起。,旁白/temple_incense_clue_02.wav,6.46
temple_incense.clue.03,旁白,调查线索,供桌背面刻着捐木、送饭、搬石的记号，没有哪一笔比另一笔更大。,旁白/temple_incense_clue_03.wav,5.88
temple_incense.outro.01,旁白,事件结语,三块构件依次扣合，悬梁终于落稳。你没有凭空点起香火，只扶正了香炉。侧厢忽然传来一句，饭凉了，也请进来坐。,旁白/temple_incense_outro.wav,9.14
temple_guest.clue.01,旁白,调查线索,旧碗边有两双筷子的磨痕。那碗饭曾被分成两份。,旁白/temple_guest_clue_01.wav,3.96
temple_guest.clue.02,旁白,调查线索,蓑衣补丁缝得很密，却没有留下主人的名字。这里的照料不以相识为条件。,旁白/temple_guest_clue_02.wav,6.04
temple_guest.clue.03,旁白,调查线索,门内残纸写着心宁而后身安。缺字的答案就在待客的心意里。,旁白/temple_guest_clue_03.wav,5.25
temple_guest.before_battle.01,旁白,战前对话,守住檐下这份安宁。,旁白/temple_guest_before_battle.wav,1.62
temple_guest.outro.01,旁白,事件结语,宁安回到门楣，冷饭的记忆升起一点温热。前坪有孩子敲着空碗喊，开社啦，可回应他的鼓声，迟迟没有响起。,旁白/temple_guest_outro.wav,9.03
temple_drum.clue.01,旁白,调查线索,鼓面白斑下面藏着回旋纹，说明纹样仍在，先净化才能看清。,旁白/temple_drum_clue_01.wav,5.23
temple_drum.clue.02,旁白,调查线索,红绳打成三个结，孩子曾用它记鼓点，也记归来的人数。,旁白/temple_drum_clue_02.wav,4.50
temple_drum.clue.03,旁白,调查线索,树下的旧脚印绕鼓成圈。春社是人重新相聚的日子。,旁白/temple_drum_clue_03.wav,4.40
temple_drum.outro.01,旁白,事件结语,鼓声越过空院，枝头红绳轻晃。檐下谱多展开一格，心舍可以容纳六道记忆。远处戏楼以一声锣响回应，仿佛有人终于等到开场。,旁白/temple_drum_outro.wav,10.17
temple_drum.chapter_outro.01,旁白,章末结语,东南方传来若有若无的锣鼓声。呓语，戏楼要开场了。可是那锣鼓，怎么越敲越远，,旁白/temple_drum_chapter_outro.wav,7.63
opera_opening.clue.01,旁白,调查线索,水袖柔长，旁边的戏单还辨得旦字。角色线索来自行头与戏单。,旁白/opera_opening_clue_01.wav,5.12
opera_opening.clue.02,旁白,调查线索,锣边磨出一个小小缺口，许多代开场都敲在同一处。,旁白/opera_opening_clue_02.wav,4.16
opera_opening.clue.03,旁白,调查线索,台口记着一段起落墨线，唱腔虽散，行腔的节奏还在。,旁白/opera_opening_clue_03.wav,4.74
opera_opening.outro.01,旁白,事件结语,开场锣终于落在完整的一拍上。你抬头看见二楼空座间浮出一点灯火，后台的旧戏服却轻轻落泪，还有半句绝唱，没人敢接。,旁白/opera_opening_outro.wav,9.86
opera_opening.first_clear.01,旁白,首通呓语,锣敲对了。台下多了一个人，他从头到尾没有鼓掌，只在最后轻声问了一句。,旁白/opera_opening_first_clear.wav,6.44
opera_master.clue.01,旁白,调查线索,师父在地上画了一枝梅，弟子的台步总从梅位起。,旁白/opera_master_clue_01.wav,4.56
opera_master.clue.02,旁白,调查线索,中央布景留出一扇门，让后来的人可以登台。,旁白/opera_master_clue_02.wav,3.56
opera_master.clue.03,旁白,调查线索,小戏鞋边的墨迹被改过许多次。练习的痕迹也是传承的一部分。,旁白/opera_master_clue_03.wav,5.20
opera_master.outro.01,旁白,事件结语,你没有让绝唱永远循环，而是替它接上了一句尚显稚嫩的新声。通往石牌坊的门打开了，门后有人问，一座留名的坊，为什么没有匠人的名字。,旁白/opera_master_outro.wav,11.12
opera_master.first_clear.01,旁白,首通呓语,唱完了。，为什么要演奏春日影。,旁白/opera_master_first_clear.wav,3.18
archway_form.clue.01,旁白,调查线索,柱脚完整保存四个承重点，中间形成三个通道，对应四柱三间。,旁白/archway_form_clue_01.wav,5.51
archway_form.clue.02,旁白,调查线索,中央榫槽磨痕最深，是连接两侧构件的受力节点。,旁白/archway_form_clue_02.wav,4.17
archway_form.clue.03,旁白,调查线索,石背留着搬运者的手印，大小不同，没有一只手能独自举起整块石头。,旁白/archway_form_clue_03.wav,6.40
archway_form.outro.01,旁白,事件结语,中央构件归位，牌坊重新立稳。柱脚的手印一一显现，其中一只手指向背面的营造刻痕，那里没有名字，却有一套清楚的做法。,旁白/archway_form_outro.wav,10.01
archway_craftsman.clue.01,旁白,调查线索,凿口有三层深浅，显示构件曾被不同的手修过。,旁白/archway_craftsman_clue_01.wav,3.89
archway_craftsman.clue.02,旁白,调查线索,尺寸记号相互呼应，低处承重点需要斗拱稳住。,旁白/archway_craftsman_clue_02.wav,3.94
archway_craftsman.clue.03,旁白,调查线索,高处刻痕反光微弱，借飞檐的灵动才能让整段记录显影。,旁白/archway_craftsman_clue_03.wav,4.59
archway_craftsman.outro.01,旁白,事件结语,刻痕连成通向七层墨塔的路线。檐下谱扩至七格，却仍装不下所有故事。塔顶传来一个陌生而熟悉的声音，我曾经试过，让世上再无悲伤。,旁白/archway_craftsman_outro.wav,11.80
tower_ascent.clue.01,旁白,调查线索,第一层谱页记着灾后重建，灾难被删去后，连伸手相助的缘由也消失了。,旁白/tower_ascent_clue_01.wav,6.01
tower_ascent.clue.02,旁白,调查线索,第七层承重线断在纸白处，斗拱能稳住结构，不能替它编造过去。,旁白/tower_ascent_clue_02.wav,5.53
tower_ascent.clue.03,旁白,调查线索,逆结晶把被删去的情绪压成白蚀。用藻井净化，让记忆重新可以被阅读。,旁白/tower_ascent_clue_03.wav,5.90
tower_ascent.outro.01,旁白,事件结语,三重白蚀散去，塔心显露一张空桌。初代的声音不再要求原谅，只把笔推向你，这次，由活着的人决定怎样接着写。,旁白/tower_ascent_outro.wav,9.72
tower_ledger.clue.01,旁白,调查线索,记住的拓印仍有颜色，它们是这趟旅程真实携带的部分。,旁白/tower_ledger_clue_01.wav,4.58
tower_ledger.clue.02,旁白,调查线索,遗忘页的账册没有被擦掉。承认取舍，才能看见自己记忆的边界。,旁白/tower_ledger_clue_02.wav,5.22
tower_ledger.clue.03,旁白,调查线索,桌上有三支未用的笔。世界的后续应由不止一个人写下。,旁白/tower_ledger_clue_03.wav,5.27
tower_ledger.outro.01,旁白,事件结语,你把檐下谱放在塔门口。有人补上家门前的桥，有人画出从未登台的孩子，也有人在空白处写下疑问。屋檐不再只收留过去，它开始收留明天。,旁白/tower_ledger_outro.wav,11.99
prologue_bridge.echo.01,墨灵回声,墨灵回声,桥记着每一次送别与归来。,墨灵回声/yan_ping_an.wav,2.49
temple_incense.echo.01,墨灵回声,墨灵回声,一炷香把一村人的愿望托给屋梁。,墨灵回声/she_cheng_xiang.wav,2.88
temple_guest.echo.01,墨灵回声,墨灵回声,檐下不拒客，一碗冷饭也分半碗。,墨灵回声/she_ning_an.wav,2.67
temple_drum.echo.01,墨灵回声,墨灵回声,鼓声唤回春社，也唤回孩子们的脚步。,墨灵回声/she_hui_chun.wav,3.24
opera_opening.echo.01,墨灵回声,墨灵回声,一腔唱尽台上台下的悲欢。,墨灵回声/xi_xing_qiang.wav,2.45
opera_master.echo.01,墨灵回声,墨灵回声,记住绝唱，就要面对被抹去的童年社戏。,墨灵回声/xi_jue_chang.wav,3.65
archway_form.echo.01,墨灵回声,墨灵回声,无名匠人的手艺也值得被记住。,墨灵回声/fang_wu_ming.wav,2.71
archway_craftsman.echo.01,墨灵回声,墨灵回声,名字可以被风吹散，手艺留下的结构不会。,墨灵回声/fang_jiang_hun.wav,3.71
tower_ascent.echo.01,墨灵回声,墨灵回声,初代拓印师为永恒秩序抹去了所有战乱与悲痛。,墨灵回声/tower_origin.wav,4.29
tower_ledger.echo.01,墨灵回声,墨灵回声,只记住值得记住的，让世界自己选择颜色。,墨灵回声/tower_epilogue.wav,3.70
temple_incense.dialogue.02,社庙,开场对话,他们凑不出一根好木头，就把各家的余料抬来。那年春社，屋顶总算没有漏雨。,社庙/temple_incense_dialogue_02.wav,6.25
temple_incense.dialogue.04,社庙,开场对话,也记着。可香下面，是来修屋顶的人。别只擦亮香炉，抬头看看梁。,社庙/temple_incense_dialogue_04.wav,5.55
temple_incense.dialogue.06,社庙,开场对话,替我把这份齐心记住。香可以再点，肯一起动手的人不该被忘掉。,社庙/temple_incense_dialogue_06.wav,5.49
temple_incense.beat.01,社庙,调查呓语,他们凑不出一根好木头，就把各家的余料抬来。那年春社，屋顶总算没有漏雨。,社庙/temple_incense_beat_01.wav,6.70
temple_incense.beat.03,社庙,调查呓语,也记着。可香下面，是来修屋顶的人。别只擦亮香炉，抬头看看梁。,社庙/temple_incense_beat_03.wav,5.42
temple_incense.before_battle.01,社庙,战前对话,梁刚稳住，白蚀还在拉扯榫口。用斗拱守住承重点。,社庙/temple_incense_before_battle.wav,4.12
temple_incense.keep_response.01,社庙,记住回应,承住一座屋的，从来不只一根梁。你愿意记住他们，香就没有断。,社庙/temple_incense_keep.wav,5.27
temple_incense.forget_response.01,社庙,遗忘回应,谱页腾出了位置。被放下的人仍曾来过，账册会替你记下这次取舍。,社庙/temple_incense_forget.wav,5.66
temple_guest.dialogue.06,社庙,开场对话,把它拓好吧。以后谁路过，都该知道这道门没有关。,社庙/temple_guest_dialogue_06.wav,4.93
temple_drum.dialogue.05,社庙,开场对话,白蚀遮住了纹样。先用藻井洗去灰白，再沿旧墨线拓印。,社庙/temple_drum_dialogue_05.wav,4.76
temple_drum.before_battle.01,社庙,战前对话,鼓声把白蚀引来了。施展藻井净化，再用挥墨护住鼓面。,社庙/temple_drum_before_battle.wav,4.53
temple_drum.forget_response.01,社庙,遗忘回应,新鼓声响起，旧声音渐远。你失去一段私人的回声，却没有失去继续守护的手艺。,社庙/temple_drum_forget.wav,6.66
temple_guest.dialogue.02,社庙·客声,开场对话,那夜我浑身是雨，不敢跨过门槛。他却先把碗推了过来。,社庙·客声/temple_guest_dialogue_02.wav,4.43
temple_guest.dialogue.04,社庙·客声,开场对话,不认得。庙祝说，先让人安下心，才问他从哪里来。,社庙·客声/temple_guest_dialogue_04.wav,4.22
temple_guest.beat.01,社庙·客声,调查呓语,那夜我浑身是雨，不敢跨过门槛。他却先把碗推了过来。,社庙·客声/temple_guest_beat_01.wav,4.90
temple_guest.beat.03,社庙·客声,调查呓语,不认得。庙祝说，先让人安下心，才问他从哪里来。,社庙·客声/temple_guest_beat_03.wav,4.03
temple_guest.keep_response.01,社庙·客声,记住回应,记住这一点暖，就够我走过后来的长路。藻井的清明交给你。,社庙·客声/temple_guest_keep.wav,4.43
temple_guest.forget_response.01,社庙·客声,遗忘回应,你不再记得我的声音，也别忘了在别人淋雨时留一处屋檐。,社庙·客声/temple_guest_forget.wav,4.84
temple_drum.dialogue.02,社庙·童声,开场对话,大家说我太小，敲不响鼓。我就在边上数，一、二、三。,社庙·童声/temple_drum_dialogue_02.wav,4.98
temple_drum.dialogue.04,社庙·童声,开场对话,都有。鼓一响，卖糖的、唱戏的、在外做工的，就都挤进院子了。,社庙·童声/temple_drum_dialogue_04.wav,6.45
temple_drum.beat.01,社庙·童声,调查呓语,大家说我太小，敲不响鼓。我就在边上数，一、二、三。,社庙·童声/temple_drum_beat_01.wav,5.83
temple_drum.beat.03,社庙·童声,调查呓语,都有。鼓一响，卖糖的、唱戏的、在外做工的，就都挤进院子了。,社庙·童声/temple_drum_beat_03.wav,6.45
temple_drum.keep_response.01,社庙·童声,记住回应,听见了吗。这一次，我也敲响了。,社庙·童声/temple_drum_keep.wav,3.72
opera_opening.dialogue.02,戏楼,开场对话,台上的人以为没人来了，不肯开嗓。台下的人以为不开戏了，也不肯落座。,戏楼/opera_opening_dialogue_02.wav,5.87
opera_opening.beat.01,戏楼,调查呓语,台上的人以为没人来了，不肯开嗓。台下的人以为不开戏了，也不肯落座。,戏楼/opera_opening_beat_01.wav,5.64
opera_opening.before_battle.01,戏楼,战前对话,白蚀吞掉了台口的回声。施展飞檐破开灰幕，再让唱腔回到台上。,戏楼/opera_opening_before_battle.wav,5.35
opera_opening.keep_response.01,戏楼,记住回应,飞檐把一口气送得更远。接住它，也替台下的人留一个座位。,戏楼/opera_opening_keep.wav,4.60
opera_opening.forget_response.01,戏楼,遗忘回应,你放下了旧回声。没有人能独自装下整座戏楼，唱过的这一声会留在账册。,戏楼/opera_opening_forget.wav,6.14
opera_master.dialogue.06,戏楼,开场对话,谱页有限，抉择会痛。但别把不完美误认成不值得。,戏楼/opera_master_dialogue_06.wav,4.71
opera_master.before_battle.01,戏楼,战前对话,护住通向后台的门。用飞檐驱散白蚀，给后来的人留出登台的位置。,戏楼/opera_master_before_battle.wav,5.48
opera_master.forget_response.01,戏楼,遗忘回应,一页旧声退去了。你亲手做过的选择，比一张无瑕的谱更需要被诚实记下。,戏楼/opera_master_forget.wav,5.76
opera_opening.dialogue.04,戏楼·旦角回声,开场对话,我是旦角，不是箱上那块褪色的标签。先替我找回水袖，再把唱腔里的行墨拓下来。,戏楼·旦角回声/opera_opening_dialogue_04.wav,6.59
opera_opening.dialogue.06,戏楼·旦角回声,开场对话,唱给愿意停下的人。哪怕台下只有一人，这一声也该完整。,戏楼·旦角回声/opera_opening_dialogue_06.wav,4.77
opera_opening.beat.03,戏楼·旦角回声,调查呓语,我是旦角，不是箱上那块褪色的标签。先替我找回水袖，再把唱腔里的行墨拓下来。,戏楼·旦角回声/opera_opening_beat_03.wav,7.08
opera_master.dialogue.02,戏楼·师父回声,开场对话,他们只想记住我最响亮的一声，却不肯留下孩子唱错的那一句。,戏楼·师父回声/opera_master_dialogue_02.wav,5.25
opera_master.dialogue.04,戏楼·师父回声,开场对话,可我把最后一口气，用来教他接下一句。若只剩我的绝唱，这门手艺便到我为止。,戏楼·师父回声/opera_master_dialogue_04.wav,6.45
opera_master.beat.01,戏楼·师父回声,调查呓语,他们只想记住我最响亮的一声，却不肯留下孩子唱错的那一句。,戏楼·师父回声/opera_master_beat_01.wav,5.62
opera_master.beat.03,戏楼·师父回声,调查呓语,可我把最后一口气，用来教他接下一句。若只剩我的绝唱，这门手艺便到我为止。,戏楼·师父回声/opera_master_beat_03.wav,6.45
opera_master.keep_response.01,戏楼·师父回声,记住回应,别替他唱完。听他慢慢学，会有他自己的声音。,戏楼·师父回声/opera_master_keep.wav,4.29
archway_form.dialogue.02,牌坊,开场对话,路过的人总仰头念名字，很少低头看我怎么站着。,牌坊/archway_form_dialogue_02.wav,4.61
archway_form.dialogue.04,牌坊,开场对话,你看见规制了。再往下看，石脚背面有一排没有署名的手印。,牌坊/archway_form_dialogue_04.wav,5.60
archway_form.dialogue.06,牌坊,开场对话,也许他们没来得及写。也许有人觉得不必写。你可以从今天开始读。,牌坊/archway_form_dialogue_06.wav,5.64
archway_form.beat.01,牌坊,调查呓语,路过的人总仰头念名字，很少低头看我怎么站着。,牌坊/archway_form_beat_01.wav,4.07
archway_form.beat.03,牌坊,调查呓语,你看见规制了。再往下看，石脚背面有一排没有署名的手印。,牌坊/archway_form_beat_03.wav,5.51
archway_form.before_battle.01,牌坊,战前对话,白蚀正抹平柱脚手印。施展飞檐越过灰幕，护住承重节点。,牌坊/archway_form_before_battle.wav,4.84
archway_form.keep_response.01,牌坊,记住回应,你记住了无名者，石头才不只替显赫的人说话。,牌坊/archway_form_keep.wav,3.74
archway_form.forget_response.01,牌坊,遗忘回应,旧名字的回声离开了心舍。你仍可以选择把无名者的位置留在世界上。,牌坊/archway_form_forget.wav,6.15
archway_craftsman.before_battle.01,牌坊,战前对话,两波白蚀正冲击梁柱。斗拱承重，飞檐破障，把所学连成一次真正的修复。,牌坊/archway_craftsman_before_battle.wav,6.49
archway_craftsman.forget_response.01,牌坊,遗忘回应,你亲手抹去一页，也看见留下的人并非完整。愿你承认缺口，而不编造补白。,牌坊/archway_craftsman_forget.wav,6.39
archway_craftsman.dialogue.02,牌坊·匠人回声,开场对话,若后人知道怎样修它，不知道我的名字，也不算白做。,牌坊·匠人回声/archway_craftsman_dialogue_02.wav,4.67
archway_craftsman.dialogue.04,牌坊·匠人回声,开场对话,别猜。猜出来的名字会盖住真正的空白。记下你确实看见的手、工具和做法。,牌坊·匠人回声/archway_craftsman_dialogue_04.wav,6.06
archway_craftsman.dialogue.06,牌坊·匠人回声,开场对话,这就对了。传下去的不是一块永不坏的石头，是坏了以后仍有人肯修。,牌坊·匠人回声/archway_craftsman_dialogue_06.wav,5.58
archway_craftsman.beat.01,牌坊·匠人回声,调查呓语,若后人知道怎样修它，不知道我的名字，也不算白做。,牌坊·匠人回声/archway_craftsman_beat_01.wav,4.36
archway_craftsman.beat.03,牌坊·匠人回声,调查呓语,别猜。猜出来的名字会盖住真正的空白。记下你确实看见的手、工具和做法。,牌坊·匠人回声/archway_craftsman_beat_03.wav,6.28
archway_craftsman.keep_response.01,牌坊·匠人回声,记住回应,不必替我编一个响亮的名字。把修它的办法交给下个人。,牌坊·匠人回声/archway_craftsman_keep.wav,4.79
tower_ascent.dialogue.02,初代拓印师·塔中回声,开场对话,我抹去战乱，抹去离别，抹去羞耻与失败。我只想让他们不再痛。,初代拓印师·塔中回声/tower_ascent_dialogue_02.wav,5.11
tower_ascent.dialogue.04,初代拓印师·塔中回声,开场对话,我留下了完好的屋子，为什么里面越来越空。,初代拓印师·塔中回声/tower_ascent_dialogue_04.wav,3.80
tower_ascent.beat.01,初代拓印师·塔中回声,调查呓语,我抹去战乱，抹去离别，抹去羞耻与失败。我只想让他们不再痛。,初代拓印师·塔中回声/tower_ascent_beat_01.wav,5.50
tower_ascent.beat.03,初代拓印师·塔中回声,调查呓语,我留下了完好的屋子，为什么里面越来越空。,初代拓印师·塔中回声/tower_ascent_beat_03.wav,3.75
tower_ledger.dialogue.05,初代拓印师·塔中回声,开场对话,这支笔不该替所有人决定。你愿意把它交回去吗。,初代拓印师·塔中回声/tower_ledger_dialogue_05.wav,4.12
tower_ascent.dialogue.06,墨塔,开场对话,把第一道墨线接回承重点，再净化逆结晶。不要替我辩解，替后来的人打开门。,墨塔/tower_ascent_dialogue_06.wav,6.62
