序号,行ID,角色,类别,章节,原文,规范化文本,已改写,被替换字符,输出音频,切片文件,字数
13,prologue_bridge.before_battle.01,廊桥,战前对话,序章·风雨廊桥,白蚀正扑向刚显影的刻字。别急，先用斗拱承住，再挥墨驱散它。,白蚀正扑向刚显影的刻字。别急，先用斗拱承住，再挥墨驱散它。,,,prologue_bridge_before_battle.wav,08-廊桥/013-prologue_bridge.before_battle.01.txt,29
14,prologue_bridge.keep_response.01,廊桥,记住回应,序章·风雨廊桥,你记住的不是我的年岁，是有人盼着归来。斗拱的力，借你撑下一程。,你记住的不是我的年岁，是有人盼着归来。斗拱的力，借你撑下一程。,,,prologue_bridge_keep.wav,08-廊桥/014-prologue_bridge.keep_response.01.txt,31
15,prologue_bridge.forget_response.01,廊桥,遗忘回应,序章·风雨廊桥,你也许忘了谁曾在这里等候，但学会的守护还留在手里。,你也许忘了谁曾在这里等候，但学会的守护还留在手里。,,,prologue_bridge_forget.wav,08-廊桥/015-prologue_bridge.forget_response.01.txt,25
16,prologue_bridge.outro.01,旁白,事件结语,序章·风雨廊桥,你把‘平安’收入檐下谱，桥栏重新染上旧木的暖色。雾后露出一条山路，路尽头的社庙正传来细弱的咳声。,你把平安收入檐下谱，桥栏重新染上旧木的暖色。雾后露出一条山路，路尽头的社庙正传来细弱的咳声。,是,‘’,prologue_bridge_outro.wav,01-旁白/016-prologue_bridge.outro.01.txt,46
17,prologue_bridge.echo.01,墨灵回声,墨灵回声,序章·风雨廊桥,桥记着每一次送别与归来。,桥记着每一次送别与归来。,,,yan_ping_an.wav,05-墨灵回声/017-prologue_bridge.echo.01.txt,12
18,temple_incense.dialogue.01,檐下谱,开场对话,第一章·社庙,社庙正殿的主梁悬在半空。梁下并排放着几只大小不同的旧碗。,社庙正殿的主梁悬在半空。梁下并排放着几只大小不同的旧碗。,,,temple_incense_dialogue_01.wav,03-檐下谱/018-temple_incense.dialogue.01.txt,28
19,temple_incense.dialogue.02,社庙,开场对话,第一章·社庙,他们凑不出一根好木头，就把各家的余料抬来。那年春社，屋顶总算没有漏雨。,他们凑不出一根好木头，就把各家的余料抬来。那年春社，屋顶总算没有漏雨。,,,temple_incense_dialogue_02.wav,04-社庙/019-temple_incense.dialogue.02.txt,35
20,temple_incense.dialogue.03,拓印师,开场对话,第一章·社庙,我以为你记着的是香火。,我以为你记着的是香火。,,,temple_incense_dialogue_03.wav,02-拓印师/020-temple_incense.dialogue.03.txt,11
21,temple_incense.dialogue.04,社庙,开场对话,第一章·社庙,也记着。可香下面，是来修屋顶的人。别只擦亮香炉，抬头看看梁。,也记着。可香下面，是来修屋顶的人。别只擦亮香炉，抬头看看梁。,,,temple_incense_dialogue_04.wav,04-社庙/021-temple_incense.dialogue.04.txt,30
22,temple_incense.dialogue.05,拓印师,开场对话,第一章·社庙,榫口还在，按左、中、右的承重点归位，就能撑起来。,榫口还在，按左、中、右的承重点归位，就能撑起来。,,,temple_incense_dialogue_05.wav,02-拓印师/022-temple_incense.dialogue.05.txt,24
23,temple_incense.dialogue.06,社庙,开场对话,第一章·社庙,替我把这份齐心记住。香可以再点，肯一起动手的人不该被忘掉。,替我把这份齐心记住。香可以再点，肯一起动手的人不该被忘掉。,,,temple_incense_dialogue_06.wav,04-社庙/023-temple_incense.dialogue.06.txt,29
24,temple_incense.clue.01,旁白,调查线索,第一章·社庙,倾倒香炉下有一圈新旧不同的灰。有人在村子渐空后仍回来看过。,倾倒香炉下有一圈新旧不同的灰。有人在村子渐空后仍回来看过。,,,temple_incense_clue_01.wav,01-旁白/024-temple_incense.clue.01.txt,29
25,temple_incense.clue.02,旁白,调查线索,第一章·社庙,三道榫口由浅至深分布：先左、再中、最后右。受力靠咬合，而不靠把木头硬钉在一起。,三道榫口由浅至深分布，先左、再中、最后右。受力靠咬合，而不靠把木头硬钉在一起。,是,：,temple_incense_clue_02.wav,01-旁白/025-temple_incense.clue.02.txt,39
26,temple_incense.clue.03,旁白,调查线索,第一章·社庙,供桌背面刻着捐木、送饭、搬石的记号，没有哪一笔比另一笔更大。,供桌背面刻着捐木、送饭、搬石的记号，没有哪一笔比另一笔更大。,,,temple_incense_clue_03.wav,01-旁白/026-temple_incense.clue.03.txt,30
27,temple_incense.beat.01,社庙,调查呓语,第一章·社庙,他们凑不出一根好木头，就把各家的余料抬来。那年春社，屋顶总算没有漏雨。,他们凑不出一根好木头，就把各家的余料抬来。那年春社，屋顶总算没有漏雨。,,,temple_incense_beat_01.wav,04-社庙/027-temple_incense.beat.01.txt,35
28,temple_incense.beat.02,拓印师,调查呓语,第一章·社庙,我以为你记着的是香火。,我以为你记着的是香火。,,,temple_incense_beat_02.wav,02-拓印师/028-temple_incense.beat.02.txt,11
29,temple_incense.beat.03,社庙,调查呓语,第一章·社庙,也记着。可香下面，是来修屋顶的人。别只擦亮香炉，抬头看看梁。,也记着。可香下面，是来修屋顶的人。别只擦亮香炉，抬头看看梁。,,,temple_incense_beat_03.wav,04-社庙/029-temple_incense.beat.03.txt,30
30,temple_incense.before_battle.01,社庙,战前对话,第一章·社庙,梁刚稳住，白蚀还在拉扯榫口。用斗拱守住承重点。,梁刚稳住，白蚀还在拉扯榫口。用斗拱守住承重点。,,,temple_incense_before_battle.wav,04-社庙/030-temple_incense.before_battle.01.txt,23
31,temple_incense.keep_response.01,社庙,记住回应,第一章·社庙,承住一座屋的，从来不只一根梁。你愿意记住他们，香就没有断。,承住一座屋的，从来不只一根梁。你愿意记住他们，香就没有断。,,,temple_incense_keep.wav,04-社庙/031-temple_incense.keep_response.01.txt,29
32,temple_incense.forget_response.01,社庙,遗忘回应,第一章·社庙,谱页腾出了位置。被放下的人仍曾来过，账册会替你记下这次取舍。,谱页腾出了位置。被放下的人仍曾来过，账册会替你记下这次取舍。,,,temple_incense_forget.wav,04-社庙/032-temple_incense.forget_response.01.txt,30
33,temple_incense.outro.01,旁白,事件结语,第一章·社庙,三块构件依次扣合，悬梁终于落稳。你没有凭空点起香火，只扶正了香炉。侧厢忽然传来一句：饭凉了，也请进来坐。,三块构件依次扣合，悬梁终于落稳。你没有凭空点起香火，只扶正了香炉。侧厢忽然传来一句，饭凉了，也请进来坐。,是,：,temple_incense_outro.wav,01-旁白/033-temple_incense.outro.01.txt,52
34,temple_incense.echo.01,墨灵回声,墨灵回声,第一章·社庙,一炷香把一村人的愿望托给屋梁。,一炷香把一村人的愿望托给屋梁。,,,she_cheng_xiang.wav,05-墨灵回声/034-temple_incense.echo.01.txt,15
35,temple_guest.dialogue.01,檐下谱,开场对话,第一章·社庙,侧厢门楣缺了一个字，只剩‘□安’。半碗冷饭旁叠着一件补过的蓑衣。,侧厢门楣缺了一个字，只剩，安。半碗冷饭旁叠着一件补过的蓑衣。,是,‘’□,temple_guest_dialogue_01.wav,03-檐下谱/035-temple_guest.dialogue.01.txt,30
36,temple_guest.dialogue.02,社庙·客声,开场对话,第一章·社庙,那夜我浑身是雨，不敢跨过门槛。他却先把碗推了过来。,那夜我浑身是雨，不敢跨过门槛。他却先把碗推了过来。,,,temple_guest_dialogue_02.wav,10-社庙·客声/036-temple_guest.dialogue.02.txt,25
37,temple_guest.dialogue.03,拓印师,开场对话,第一章·社庙,他认得你吗？,他认得你吗。,是,？,temple_guest_dialogue_03.wav,02-拓印师/037-temple_guest.dialogue.03.txt,6
38,temple_guest.dialogue.04,社庙·客声,开场对话,第一章·社庙,不认得。庙祝说，先让人安下心，才问他从哪里来。,不认得。庙祝说，先让人安下心，才问他从哪里来。,,,temple_guest_dialogue_04.wav,10-社庙·客声/038-temple_guest.dialogue.04.txt,23
39,temple_guest.dialogue.05,拓印师,开场对话,第一章·社庙,不是热闹的平安，是让陌生人也能宁静下来。缺的是‘宁’。,不是热闹的平安，是让陌生人也能宁静下来。缺的是宁。,是,‘’,temple_guest_dialogue_05.wav,02-拓印师/039-temple_guest.dialogue.05.txt,25
40,temple_guest.dialogue.06,社庙,开场对话,第一章·社庙,把它拓好吧。以后谁路过，都该知道这道门没有关。,把它拓好吧。以后谁路过，都该知道这道门没有关。,,,temple_guest_dialogue_06.wav,04-社庙/040-temple_guest.dialogue.06.txt,23
41,temple_guest.clue.01,旁白,调查线索,第一章·社庙,旧碗边有两双筷子的磨痕。那碗饭曾被分成两份。,旧碗边有两双筷子的磨痕。那碗饭曾被分成两份。,,,temple_guest_clue_01.wav,01-旁白/041-temple_guest.clue.01.txt,22
42,temple_guest.clue.02,旁白,调查线索,第一章·社庙,蓑衣补丁缝得很密，却没有留下主人的名字。这里的照料不以相识为条件。,蓑衣补丁缝得很密，却没有留下主人的名字。这里的照料不以相识为条件。,,,temple_guest_clue_02.wav,01-旁白/042-temple_guest.clue.02.txt,33
43,temple_guest.clue.03,旁白,调查线索,第一章·社庙,门内残纸写着‘心宁而后身安’。缺字的答案就在待客的心意里。,门内残纸写着心宁而后身安。缺字的答案就在待客的心意里。,是,‘’,temple_guest_clue_03.wav,01-旁白/043-temple_guest.clue.03.txt,27
44,temple_guest.beat.01,社庙·客声,调查呓语,第一章·社庙,那夜我浑身是雨，不敢跨过门槛。他却先把碗推了过来。,那夜我浑身是雨，不敢跨过门槛。他却先把碗推了过来。,,,temple_guest_beat_01.wav,10-社庙·客声/044-temple_guest.beat.01.txt,25
45,temple_guest.beat.02,拓印师,调查呓语,第一章·社庙,他认得你吗？,他认得你吗。,是,？,temple_guest_beat_02.wav,02-拓印师/045-temple_guest.beat.02.txt,6
46,temple_guest.beat.03,社庙·客声,调查呓语,第一章·社庙,不认得。庙祝说，先让人安下心，才问他从哪里来。,不认得。庙祝说，先让人安下心，才问他从哪里来。,,,temple_guest_beat_03.wav,10-社庙·客声/046-temple_guest.beat.03.txt,23
47,temple_guest.before_battle.01,旁白,战前对话,第一章·社庙,守住檐下这份安宁。,守住檐下这份安宁。,,,temple_guest_before_battle.wav,01-旁白/047-temple_guest.before_battle.01.txt,9
48,temple_guest.keep_response.01,社庙·客声,记住回应,第一章·社庙,记住这一点暖，就够我走过后来的长路。藻井的清明交给你。,记住这一点暖，就够我走过后来的长路。藻井的清明交给你。,,,temple_guest_keep.wav,10-社庙·客声/048-temple_guest.keep_response.01.txt,27
49,temple_guest.forget_response.01,社庙·客声,遗忘回应,第一章·社庙,你不再记得我的声音，也别忘了在别人淋雨时留一处屋檐。,你不再记得我的声音，也别忘了在别人淋雨时留一处屋檐。,,,temple_guest_forget.wav,10-社庙·客声/049-temple_guest.forget_response.01.txt,26
50,temple_guest.outro.01,旁白,事件结语,第一章·社庙,‘宁安’回到门楣，冷饭的记忆升起一点温热。前坪有孩子敲着空碗喊：开社啦——可回应他的鼓声，迟迟没有响起。,宁安回到门楣，冷饭的记忆升起一点温热。前坪有孩子敲着空碗喊，开社啦，可回应他的鼓声，迟迟没有响起。,是,—‘’：,temple_guest_outro.wav,01-旁白/050-temple_guest.outro.01.txt,49
51,temple_guest.echo.01,墨灵回声,墨灵回声,第一章·社庙,檐下不拒客，一碗冷饭也分半碗。,檐下不拒客，一碗冷饭也分半碗。,,,she_ning_an.wav,05-墨灵回声/051-temple_guest.echo.01.txt,15
52,temple_drum.dialogue.01,檐下谱,开场对话,第一章·社庙,前坪的社鼓蒙着白斑。槌柄上缠着一截褪色红绳，树下有深浅不同的脚印。,前坪的社鼓蒙着白斑。槌柄上缠着一截褪色红绳，树下有深浅不同的脚印。,,,temple_drum_dialogue_01.wav,03-檐下谱/052-temple_drum.dialogue.01.txt,33
53,temple_drum.dialogue.02,社庙·童声,开场对话,第一章·社庙,大家说我太小，敲不响鼓。我就在边上数：一、二、三！,大家说我太小，敲不响鼓。我就在边上数，一、二、三。,是,！：,temple_drum_dialogue_02.wav,13-社庙·童声/053-temple_drum.dialogue.02.txt,25
54,temple_drum.dialogue.03,拓印师,开场对话,第一章·社庙,你等的是春天，还是一起回来的人？,你等的是春天，还是一起回来的人。,是,？,temple_drum_dialogue_03.wav,02-拓印师/054-temple_drum.dialogue.03.txt,16
55,temple_drum.dialogue.04,社庙·童声,开场对话,第一章·社庙,都有。鼓一响，卖糖的、唱戏的、在外做工的，就都挤进院子了。,都有。鼓一响，卖糖的、唱戏的、在外做工的，就都挤进院子了。,,,temple_drum_dialogue_04.wav,13-社庙·童声/055-temple_drum.dialogue.04.txt,29
56,temple_drum.dialogue.05,社庙,开场对话,第一章·社庙,白蚀遮住了纹样。先用藻井洗去灰白，再沿旧墨线拓印。,白蚀遮住了纹样。先用藻井洗去灰白，再沿旧墨线拓印。,,,temple_drum_dialogue_05.wav,04-社庙/056-temple_drum.dialogue.05.txt,25
57,temple_drum.dialogue.06,拓印师,开场对话,第一章·社庙,这回不用等谁来敲第一下。我们一起。,这回不用等谁来敲第一下。我们一起。,,,temple_drum_dialogue_06.wav,02-拓印师/057-temple_drum.dialogue.06.txt,17
58,temple_drum.clue.01,旁白,调查线索,第一章·社庙,鼓面白斑下面藏着回旋纹，说明纹样仍在，先净化才能看清。,鼓面白斑下面藏着回旋纹，说明纹样仍在，先净化才能看清。,,,temple_drum_clue_01.wav,01-旁白/058-temple_drum.clue.01.txt,27
59,temple_drum.clue.02,旁白,调查线索,第一章·社庙,红绳打成三个结，孩子曾用它记鼓点，也记归来的人数。,红绳打成三个结，孩子曾用它记鼓点，也记归来的人数。,,,temple_drum_clue_02.wav,01-旁白/059-temple_drum.clue.02.txt,25
60,temple_drum.clue.03,旁白,调查线索,第一章·社庙,树下的旧脚印绕鼓成圈。春社是人重新相聚的日子。,树下的旧脚印绕鼓成圈。春社是人重新相聚的日子。,,,temple_drum_clue_03.wav,01-旁白/060-temple_drum.clue.03.txt,23
61,temple_drum.beat.01,社庙·童声,调查呓语,第一章·社庙,大家说我太小，敲不响鼓。我就在边上数：一、二、三！,大家说我太小，敲不响鼓。我就在边上数，一、二、三。,是,！：,temple_drum_beat_01.wav,13-社庙·童声/061-temple_drum.beat.01.txt,25
62,temple_drum.beat.02,拓印师,调查呓语,第一章·社庙,你等的是春天，还是一起回来的人？,你等的是春天，还是一起回来的人。,是,？,temple_drum_beat_02.wav,02-拓印师/062-temple_drum.beat.02.txt,16
63,temple_drum.beat.03,社庙·童声,调查呓语,第一章·社庙,都有。鼓一响，卖糖的、唱戏的、在外做工的，就都挤进院子了。,都有。鼓一响，卖糖的、唱戏的、在外做工的，就都挤进院子了。,,,temple_drum_beat_03.wav,13-社庙·童声/063-temple_drum.beat.03.txt,29
64,temple_drum.before_battle.01,社庙,战前对话,第一章·社庙,鼓声把白蚀引来了。施展藻井净化，再用挥墨护住鼓面。,鼓声把白蚀引来了。施展藻井净化，再用挥墨护住鼓面。,,,temple_drum_before_battle.wav,04-社庙/064-temple_drum.before_battle.01.txt,25
65,temple_drum.keep_response.01,社庙·童声,记住回应,第一章·社庙,听见了吗？这一次，我也敲响了！,听见了吗。这一次，我也敲响了。,是,！？,temple_drum_keep.wav,13-社庙·童声/065-temple_drum.keep_response.01.txt,15
66,temple_drum.forget_response.01,社庙,遗忘回应,第一章·社庙,新鼓声响起，旧声音渐远。你失去一段私人的回声，却没有失去继续守护的手艺。,新鼓声响起，旧声音渐远。你失去一段私人的回声，却没有失去继续守护的手艺。,,,temple_drum_forget.wav,04-社庙/066-temple_drum.forget_response.01.txt,36
67,temple_drum.outro.01,旁白,事件结语,第一章·社庙,鼓声越过空院，枝头红绳轻晃。檐下谱多展开一格，心舍可以容纳六道记忆。远处戏楼以一声锣响回应，仿佛有人终于等到开场。,鼓声越过空院，枝头红绳轻晃。檐下谱多展开一格，心舍可以容纳六道记忆。远处戏楼以一声锣响回应，仿佛有人终于等到开场。,,,temple_drum_outro.wav,01-旁白/067-temple_drum.outro.01.txt,57
68,temple_drum.chapter_outro.01,旁白,章末结语,第一章·社庙,东南方传来若有若无的锣鼓声。呓语：‘戏楼要开场了。可是那锣鼓，怎么越敲越远……’,东南方传来若有若无的锣鼓声。呓语，戏楼要开场了。可是那锣鼓，怎么越敲越远，,是,‘’…：,temple_drum_chapter_outro.wav,01-旁白/068-temple_drum.chapter_outro.01.txt,37
69,temple_drum.echo.01,墨灵回声,墨灵回声,第一章·社庙,鼓声唤回春社，也唤回孩子们的脚步。,鼓声唤回春社，也唤回孩子们的脚步。,,,she_hui_chun.wav,05-墨灵回声/069-temple_drum.echo.01.txt,17
70,opera_opening.dialogue.01,檐下谱,开场对话,第二章·戏楼,戏楼里只亮着一盏台灯。水袖从行头箱垂下，锣鼓声总少了半拍。,戏楼里只亮着一盏台灯。水袖从行头箱垂下，锣鼓声总少了半拍。,,,opera_opening_dialogue_01.wav,03-檐下谱/070-opera_opening.dialogue.01.txt,29
71,opera_opening.dialogue.02,戏楼,开场对话,第二章·戏楼,台上的人以为没人来了，不肯开嗓。台下的人以为不开戏了，也不肯落座。,台上的人以为没人来了，不肯开嗓。台下的人以为不开戏了，也不肯落座。,,,opera_opening_dialogue_02.wav,07-戏楼/071-opera_opening.dialogue.02.txt,33
72,opera_opening.dialogue.03,拓印师,开场对话,第二章·戏楼,总得有人先开口。,总得有人先开口。,,,opera_opening_dialogue_03.wav,02-拓印师/072-opera_opening.dialogue.03.txt,8
73,opera_opening.dialogue.04,戏楼·旦角回声,开场对话,第二章·戏楼,我是旦角，不是箱上那块褪色的标签。先替我找回水袖，再把唱腔里的行墨拓下来。,我是旦角，不是箱上那块褪色的标签。先替我找回水袖，再把唱腔里的行墨拓下来。,,,opera_opening_dialogue_04.wav,16-戏楼·旦角回声/073-opera_opening.dialogue.04.txt,37
74,opera_opening.dialogue.05,拓印师,开场对话,第二章·戏楼,你最想唱给谁听？,你最想唱给谁听。,是,？,opera_opening_dialogue_05.wav,02-拓印师/074-opera_opening.dialogue.05.txt,8
75,opera_opening.dialogue.06,戏楼·旦角回声,开场对话,第二章·戏楼,唱给愿意停下的人。哪怕台下只有一人，这一声也该完整。,唱给愿意停下的人。哪怕台下只有一人，这一声也该完整。,,,opera_opening_dialogue_06.wav,16-戏楼·旦角回声/075-opera_opening.dialogue.06.txt,26
76,opera_opening.clue.01,旁白,调查线索,第二章·戏楼,水袖柔长，旁边的戏单还辨得‘旦’字。角色线索来自行头与戏单。,水袖柔长，旁边的戏单还辨得旦字。角色线索来自行头与戏单。,是,‘’,opera_opening_clue_01.wav,01-旁白/076-opera_opening.clue.01.txt,28
77,opera_opening.clue.02,旁白,调查线索,第二章·戏楼,锣边磨出一个小小缺口，许多代开场都敲在同一处。,锣边磨出一个小小缺口，许多代开场都敲在同一处。,,,opera_opening_clue_02.wav,01-旁白/077-opera_opening.clue.02.txt,23
78,opera_opening.clue.03,旁白,调查线索,第二章·戏楼,台口记着一段起落墨线，唱腔虽散，行腔的节奏还在。,台口记着一段起落墨线，唱腔虽散，行腔的节奏还在。,,,opera_opening_clue_03.wav,01-旁白/078-opera_opening.clue.03.txt,24
79,opera_opening.beat.01,戏楼,调查呓语,第二章·戏楼,台上的人以为没人来了，不肯开嗓。台下的人以为不开戏了，也不肯落座。,台上的人以为没人来了，不肯开嗓。台下的人以为不开戏了，也不肯落座。,,,opera_opening_beat_01.wav,07-戏楼/079-opera_opening.beat.01.txt,33
80,opera_opening.beat.02,拓印师,调查呓语,第二章·戏楼,总得有人先开口。,总得有人先开口。,,,opera_opening_beat_02.wav,02-拓印师/080-opera_opening.beat.02.txt,8
81,opera_opening.beat.03,戏楼·旦角回声,调查呓语,第二章·戏楼,我是旦角，不是箱上那块褪色的标签。先替我找回水袖，再把唱腔里的行墨拓下来。,我是旦角，不是箱上那块褪色的标签。先替我找回水袖，再把唱腔里的行墨拓下来。,,,opera_opening_beat_03.wav,16-戏楼·旦角回声/081-opera_opening.beat.03.txt,37
82,opera_opening.before_battle.01,戏楼,战前对话,第二章·戏楼,白蚀吞掉了台口的回声。施展飞檐破开灰幕，再让唱腔回到台上。,白蚀吞掉了台口的回声。施展飞檐破开灰幕，再让唱腔回到台上。,,,opera_opening_before_battle.wav,07-戏楼/082-opera_opening.before_battle.01.txt,29
83,opera_opening.keep_response.01,戏楼,记住回应,第二章·戏楼,飞檐把一口气送得更远。接住它，也替台下的人留一个座位。,飞檐把一口气送得更远。接住它，也替台下的人留一个座位。,,,opera_opening_keep.wav,07-戏楼/083-opera_opening.keep_response.01.txt,27
84,opera_opening.forget_response.01,戏楼,遗忘回应,第二章·戏楼,你放下了旧回声。没有人能独自装下整座戏楼，唱过的这一声会留在账册。,你放下了旧回声。没有人能独自装下整座戏楼，唱过的这一声会留在账册。,,,opera_opening_forget.wav,07-戏楼/084-opera_opening.forget_response.01.txt,33
85,opera_opening.outro.01,旁白,事件结语,第二章·戏楼,开场锣终于落在完整的一拍上。你抬头看见二楼空座间浮出一点灯火，后台的旧戏服却轻轻落泪：还有半句绝唱，没人敢接。,开场锣终于落在完整的一拍上。你抬头看见二楼空座间浮出一点灯火，后台的旧戏服却轻轻落泪，还有半句绝唱，没人敢接。,是,：,opera_opening_outro.wav,01-旁白/085-opera_opening.outro.01.txt,55
86,opera_opening.first_clear.01,旁白,首通呓语,第二章·戏楼,锣敲对了。台下多了一个人——他从头到尾没有鼓掌，只在最后轻声问了一句。,锣敲对了。台下多了一个人，他从头到尾没有鼓掌，只在最后轻声问了一句。,是,—,opera_opening_first_clear.wav,01-旁白/086-opera_opening.first_clear.01.txt,34
87,opera_opening.echo.01,墨灵回声,墨灵回声,第二章·戏楼,一腔唱尽台上台下的悲欢。,一腔唱尽台上台下的悲欢。,,,xi_xing_qiang.wav,05-墨灵回声/087-opera_opening.echo.01.txt,12
88,opera_master.dialogue.01,檐下谱,开场对话,第二章·戏楼,后台并排放着一双大戏鞋和一双小戏鞋。布景散落，旧戏服仍朝着台口。,后台并排放着一双大戏鞋和一双小戏鞋。布景散落，旧戏服仍朝着台口。,,,opera_master_dialogue_01.wav,03-檐下谱/088-opera_master.dialogue.01.txt,32
89,opera_master.dialogue.02,戏楼·师父回声,开场对话,第二章·戏楼,他们只想记住我最响亮的一声，却不肯留下孩子唱错的那一句。,他们只想记住我最响亮的一声，却不肯留下孩子唱错的那一句。,,,opera_master_dialogue_02.wav,12-戏楼·师父回声/089-opera_master.dialogue.02.txt,28
90,opera_master.dialogue.03,拓印师,开场对话,第二章·戏楼,因为那句不够好听？,因为那句不够好听。,是,？,opera_master_dialogue_03.wav,02-拓印师/090-opera_master.dialogue.03.txt,9
91,opera_master.dialogue.04,戏楼·师父回声,开场对话,第二章·戏楼,可我把最后一口气，用来教他接下一句。若只剩我的绝唱，这门手艺便到我为止。,可我把最后一口气，用来教他接下一句。若只剩我的绝唱，这门手艺便到我为止。,,,opera_master_dialogue_04.wav,12-戏楼·师父回声/091-opera_master.dialogue.04.txt,36
92,opera_master.dialogue.05,拓印师,开场对话,第二章·戏楼,我会把梅字台步与中央布景归好，也记住那个还在学的人。,我会把梅字台步与中央布景归好，也记住那个还在学的人。,,,opera_master_dialogue_05.wav,02-拓印师/092-opera_master.dialogue.05.txt,26
93,opera_master.dialogue.06,戏楼,开场对话,第二章·戏楼,谱页有限，抉择会痛。但别把‘不完美’误认成‘不值得’。,谱页有限，抉择会痛。但别把不完美误认成不值得。,是,‘’,opera_master_dialogue_06.wav,07-戏楼/093-opera_master.dialogue.06.txt,23
94,opera_master.clue.01,旁白,调查线索,第二章·戏楼,师父在地上画了一枝梅，弟子的台步总从‘梅’位起。,师父在地上画了一枝梅，弟子的台步总从梅位起。,是,‘’,opera_master_clue_01.wav,01-旁白/094-opera_master.clue.01.txt,22
95,opera_master.clue.02,旁白,调查线索,第二章·戏楼,中央布景留出一扇门，让后来的人可以登台。,中央布景留出一扇门，让后来的人可以登台。,,,opera_master_clue_02.wav,01-旁白/095-opera_master.clue.02.txt,20
96,opera_master.clue.03,旁白,调查线索,第二章·戏楼,小戏鞋边的墨迹被改过许多次。练习的痕迹也是传承的一部分。,小戏鞋边的墨迹被改过许多次。练习的痕迹也是传承的一部分。,,,opera_master_clue_03.wav,01-旁白/096-opera_master.clue.03.txt,28
