Godot Engine v4.5.2.stable.official.6ce3de25a - https://godotengine.org

[   0% ] first_scan_filesystem | Started 项目初始化 (5 steps)
[   4% ] savepack | 保存文件：res://.godot/imported/she_cheng_xiang.wav-13d35226544725d66011e201e3790768.sample
[   4% ] savepack | 保存文件：res://assets/echo/she_cheng_xiang.wav.import
[   5% ] savepack | 保存文件：res://.godot/imported/she_hui_chun.wav-308dbc45d5f772694649ca9c8e05ca02.sample
[   5% ] savepack | 保存文件：res://assets/echo/she_hui_chun.wav.import
[   5% ] savepack | 保存文件：res://.godot/imported/she_ning_an.wav-ccd027e80068c494886cc009a8b28cf7.sample
[   5% ] savepack | 保存文件：res://assets/echo/she_ning_an.wav.import
[   6% ] savepack | 保存文件：res://.godot/imported/temple_drum.wav-ced7f2dec6f0248dab0b878bf3d64402.sample
[   6% ] savepack | 保存文件：res://assets/echo/temple_drum.wav.import
[   6% ] savepack | 保存文件：res://.godot/imported/temple_guest.wav-1000e3c32d9f365c0b8495bb06e3e0de.sample
[   6% ] savepack | 保存文件：res://assets/echo/temple_guest.wav.import
[   6% ] savepack | 保存文件：res://.godot/imported/temple_incense.wav-8dca517c0ac713c782072ba8034a2b3b.sample
[   6% ] savepack | 保存文件：res://assets/echo/temple_incense.wav.import
[   7% ] savepack | 保存文件：res://.godot/imported/tower_epilogue.wav-de27875afd8ae6faaebfc58a68666a8e.sample
[   7% ] savepack | 保存文件：res://assets/echo/tower_epilogue.wav.import
[   7% ] savepack | 保存文件：res://.godot/imported/tower_origin.wav-ddd5162255dae55e1e44d1cce46d35d4.sample
[   7% ] savepack | 保存文件：res://assets/echo/tower_origin.wav.import
[   8% ] savepack | 保存文件：res://.godot/imported/xi_jue_chang.wav-51e61dbb80337e8289395271cb865ed2.sample
[   8% ] savepack | 保存文件：res://assets/echo/xi_jue_chang.wav.import
[   8% ] savepack | 保存文件：res://.godot/imported/xi_xing_qiang.wav-2c16fb92da3a84c7f7b7df26a3c6d2ba.sample
[   8% ] savepack | 保存文件：res://assets/echo/xi_xing_qiang.wav.import
[   8% ] savepack | 保存文件：res://.godot/imported/yan_ping_an.wav-8b444700d2aee8609e96ec3f2c817894.sample
[   8% ] savepack | 保存文件：res://assets/echo/yan_ping_an.wav.import
[   9% ] savepack | 保存文件：res://.godot/imported/bg_01_wind_rain_bridge.png-5fbd81973fd013d50952965c255a85dd.ctex
[   9% ] savepack | 保存文件：res://assets/generated/bg_01_wind_rain_bridge.png.import
[   9% ] savepack | 保存文件：res://.godot/imported/bg_02_village_temple_courtyard.png-9978393854d97dbf4e7928f1fd583596.ctex
[   9% ] savepack | 保存文件：res://assets/generated/bg_02_village_temple_courtyard.png.import
[  10% ] savepack | 保存文件：res://.godot/imported/bg_03_temple_white_erosion_battle.png-e5ac972cb7552e30be4a8928434c0b35.ctex
[  10% ] savepack | 保存文件：res://assets/generated/bg_03_temple_white_erosion_battle.png.import
[  10% ] savepack | 保存文件：res://.godot/imported/ui_01_open_scroll_main_menu_base.png-c02a617c38d5ec88f59400db3098f368.ctex
[  10% ] savepack | 保存文件：res://assets/generated/ui_01_open_scroll_main_menu_base.png.import
[  10% ] savepack | 保存文件：res://.godot/imported/ui_02_memory_talisman_cards_sheet.png-bba9d066bdeb26e94a966e5c2608c351.ctex
[  10% ] savepack | 保存文件：res://assets/generated/ui_02_memory_talisman_cards_sheet.png.import
[  11% ] savepack | 保存文件：res://.godot/imported/ui_03_skill_emblems_sheet.png-de248280f18c9af9127f4f48352171fa.ctex
[  11% ] savepack | 保存文件：res://assets/generated/ui_03_skill_emblems_sheet.png.import
[  11% ] savepack | 保存文件：res://.godot/imported/ui_04_frames_buttons_kit.png-1e4a889325ffad7e2d5b2a544ef67062.ctex
[  11% ] savepack | 保存文件：res://assets/generated/ui_04_frames_buttons_kit.png.import
[  12% ] savepack | 保存文件：res://.godot/imported/bridge_eroded.jpg-0a8b5f8478b977a97609625c16130b75.ctex
[  12% ] savepack | 保存文件：res://assets/imported/bridge_eroded.jpg.import
[  12% ] savepack | 保存文件：res://.godot/imported/bridge_restored.jpg-41aeaecf008550ca969e200af5ecc4e4.ctex
[  12% ] savepack | 保存文件：res://assets/imported/bridge_restored.jpg.import
[  12% ] savepack | 保存文件：res://.godot/imported/drum_courtyard.png-c298a0450eb638d69f295234db4ccb55.ctex
[  12% ] savepack | 保存文件：res://assets/imported/drum_courtyard.png.import
[  13% ] savepack | 保存文件：res://.godot/imported/guest_room.png-8280d130939714011a47f9109e06d47e.ctex
[  13% ] savepack | 保存文件：res://assets/imported/guest_room.png.import
[  13% ] savepack | 保存文件：res://scripts/trace_canvas.gdc
[  13% ] savepack | 保存文件：res://.godot/imported/temple_interior.png-f641cd23f9d67476c43163fb3186f290.ctex
[  13% ] savepack | 保存文件：res://assets/imported/temple_interior.png.import
[  14% ] savepack | 保存文件：res://.godot/imported/white_erosion.png-ac7a9b3b9ec62f51de50cb218e6d5296.ctex
[  14% ] savepack | 保存文件：res://assets/imported/white_erosion.png.import
[  14% ] savepack | 保存文件：res://.godot/imported/fang_jiang_hun.png-cee7e8530f192812edf9db0ad00b6ea8.ctex
[  14% ] savepack | 保存文件：res://assets/rubbings/fang_jiang_hun.png.import
[  15% ] savepack | 保存文件：res://.godot/imported/fang_jiang_hun.svg-5011978760c5edb136cc9ab7f17974df.ctex
[  15% ] savepack | 保存文件：res://assets/rubbings/fang_jiang_hun.svg.import
[  15% ] savepack | 保存文件：res://.godot/imported/fang_wu_ming.png-bd8319ad7f273c627e41c88a6ab74704.ctex
[  15% ] savepack | 保存文件：res://assets/rubbings/fang_wu_ming.png.import
[  15% ] savepack | 保存文件：res://.godot/imported/fang_wu_ming.svg-3f1175a19a0f265c4420f9f3b90d05c4.ctex
[  15% ] savepack | 保存文件：res://assets/rubbings/fang_wu_ming.svg.import
[  16% ] savepack | 保存文件：res://.godot/imported/she_cheng_xiang.png-b0ff337f84cc032cceaf046713087c37.ctex
[  16% ] savepack | 保存文件：res://assets/rubbings/she_cheng_xiang.png.import
[  16% ] savepack | 保存文件：res://.godot/imported/she_cheng_xiang.svg-39ad9fbc8315a1bda5c79e1e155fd56b.ctex
[  16% ] savepack | 保存文件：res://assets/rubbings/she_cheng_xiang.svg.import
[  17% ] savepack | 保存文件：res://.godot/imported/she_hui_chun.png-95818511b64d617a9beb137b2edff64c.ctex
[  17% ] savepack | 保存文件：res://assets/rubbings/she_hui_chun.png.import
[  17% ] savepack | 保存文件：res://.godot/imported/she_hui_chun.svg-dd61fde6cbd2bc0a45219bc4f7f04a5f.ctex
[  17% ] savepack | 保存文件：res://assets/rubbings/she_hui_chun.svg.import
[  17% ] savepack | 保存文件：res://.godot/imported/she_ning_an.png-5b13e545609d25b331816c3692933f02.ctex
[  17% ] savepack | 保存文件：res://assets/rubbings/she_ning_an.png.import
[  18% ] savepack | 保存文件：res://.godot/imported/she_ning_an.svg-69200d406f12ac031dd672e79cf505d0.ctex
[  18% ] savepack | 保存文件：res://assets/rubbings/she_ning_an.svg.import
[  18% ] savepack | 保存文件：res://.godot/imported/tower_epilogue.png-f8b292ba6b3d74eed80adca46786fe0f.ctex
[  18% ] savepack | 保存文件：res://assets/rubbings/tower_epilogue.png.import
[  19% ] savepack | 保存文件：res://.godot/imported/tower_epilogue.svg-8c81e1c274d391844a879eed0962e88d.ctex
[  19% ] savepack | 保存文件：res://assets/rubbings/tower_epilogue.svg.import
[  19% ] savepack | 保存文件：res://.godot/imported/tower_origin.png-fa96d61451ff937fd3781959c32c410d.ctex
[  19% ] savepack | 保存文件：res://assets/rubbings/tower_origin.png.import
[  19% ] savepack | 保存文件：res://.godot/imported/tower_origin.svg-ba0093ba74c1fc9acddaaa83de1ad2fb.ctex
[  19% ] savepack | 保存文件：res://assets/rubbings/tower_origin.svg.import
[  20% ] savepack | 保存文件：res://.godot/imported/xi_jue_chang.png-c0fc5f1c880916f283477ce03389bf16.ctex
[  20% ] savepack | 保存文件：res://assets/rubbings/xi_jue_chang.png.import
[  20% ] savepack | 保存文件：res://.godot/imported/xi_jue_chang.svg-6c8dc6ec0b9b8fabfe4f98d8ead20ecd.ctex
[  20% ] savepack | 保存文件：res://assets/rubbings/xi_jue_chang.svg.import
[  21% ] savepack | 保存文件：res://.godot/imported/xi_xing_qiang.png-ef6ade5e988fa8ee423551315502e27b.ctex
[  21% ] savepack | 保存文件：res://assets/rubbings/xi_xing_qiang.png.import
[  21% ] savepack | 保存文件：res://.godot/imported/xi_xing_qiang.svg-f0cbffff5e2d38656066eed57a289cf8.ctex
[  21% ] savepack | 保存文件：res://assets/rubbings/xi_xing_qiang.svg.import
[  21% ] savepack | 保存文件：res://.godot/imported/yan_ping_an.png-9ce0f333801c41d1faaf5a3ec791098b.ctex
[  21% ] savepack | 保存文件：res://assets/rubbings/yan_ping_an.png.import
[  22% ] savepack | 保存文件：res://.godot/imported/archway_craftsman_beat_01.wav-6db2ba01c6a57bc79d1fa40d0f6f6bb4.sample
[  22% ] savepack | 保存文件：res://assets/voice/archway_craftsman_beat_01.wav.import
[  22% ] savepack | 保存文件：res://.godot/imported/archway_craftsman_beat_02.wav-41a44fe03e9c6600214b0c7525090b9e.sample
[  22% ] savepack | 保存文件：res://assets/voice/archway_craftsman_beat_02.wav.import
[  23% ] savepack | 保存文件：res://.godot/imported/archway_craftsman_beat_03.wav-b017d6879662176adc57491e8fe85885.sample
[  23% ] savepack | 保存文件：res://assets/voice/archway_craftsman_beat_03.wav.import
[  23% ] savepack | 保存文件：res://.godot/imported/archway_craftsman_before_battle.wav-cbd8c2ce6b2367d3da589ccebe8f0883.sample
[  23% ] savepack | 保存文件：res://assets/voice/archway_craftsman_before_battle.wav.import
[  23% ] savepack | 保存文件：res://.godot/imported/archway_craftsman_clue_01.wav-1a8fd30e0ccc031556fa2bf7b934a3cb.sample
[  23% ] savepack | 保存文件：res://assets/voice/archway_craftsman_clue_01.wav.import
[  24% ] savepack | 保存文件：res://.godot/imported/archway_craftsman_clue_02.wav-2af52ead96402681cdb98f60ddd3c203.sample
[  24% ] savepack | 保存文件：res://assets/voice/archway_craftsman_clue_02.wav.import
[  24% ] savepack | 保存文件：res://.godot/imported/archway_craftsman_clue_03.wav-d7d46872719d13f62225d6f7526adf05.sample
[  24% ] savepack | 保存文件：res://assets/voice/archway_craftsman_clue_03.wav.import
[  25% ] savepack | 保存文件：res://.godot/imported/archway_craftsman_dialogue_01.wav-c88350d1d40791716a6d1f7a0dc6ea36.sample
[  25% ] savepack | 保存文件：res://assets/voice/archway_craftsman_dialogue_01.wav.import
[  25% ] savepack | 保存文件：res://.godot/imported/archway_craftsman_dialogue_02.wav-f620207c4169b203b3ac6632fad8c7a1.sample
[  25% ] savepack | 保存文件：res://assets/voice/archway_craftsman_dialogue_02.wav.import
[  25% ] savepack | 保存文件：res://.godot/imported/archway_craftsman_dialogue_03.wav-e2bb921b1cf69a4318fee1e27162c837.sample
[  25% ] savepack | 保存文件：res://assets/voice/archway_craftsman_dialogue_03.wav.import
[  26% ] savepack | 保存文件：res://.godot/imported/archway_craftsman_dialogue_04.wav-c5624ad08df1b28c0a25606496abc5ea.sample
[  26% ] savepack | 保存文件：res://assets/voice/archway_craftsman_dialogue_04.wav.import
[  26% ] savepack | 保存文件：res://.godot/imported/archway_craftsman_dialogue_05.wav-0e01f4c0ab15d4f870533ac63a0a9613.sample
[  26% ] savepack | 保存文件：res://assets/voice/archway_craftsman_dialogue_05.wav.import
[  26% ] savepack | 保存文件：res://.godot/imported/archway_craftsman_dialogue_06.wav-768a26d7bb1119c51b78335da8dfecbb.sample
[  26% ] savepack | 保存文件：res://assets/voice/archway_craftsman_dialogue_06.wav.import
[  27% ] savepack | 保存文件：res://.godot/imported/archway_craftsman_forget.wav-29eeed9b4bb3a60d18ed0b628a0541ea.sample
[  27% ] savepack | 保存文件：res://assets/voice/archway_craftsman_forget.wav.import
[  27% ] savepack | 保存文件：res://.godot/imported/archway_craftsman_keep.wav-d50f1652acd43f66d1050502b072f130.sample
[  27% ] savepack | 保存文件：res://assets/voice/archway_craftsman_keep.wav.import
[  28% ] savepack | 保存文件：res://.godot/imported/archway_craftsman_outro.wav-e103b04e03470aac1ed907698e31e2e5.sample
[  28% ] savepack | 保存文件：res://assets/voice/archway_craftsman_outro.wav.import
[  28% ] savepack | 保存文件：res://.godot/imported/archway_form_beat_01.wav-7aa0e1ea017562129befea002aa4103e.sample
[  28% ] savepack | 保存文件：res://assets/voice/archway_form_beat_01.wav.import
[  28% ] savepack | 保存文件：res://.godot/imported/archway_form_beat_02.wav-7e5296f3be9c7a5f91406ba44d5155f7.sample
[  28% ] savepack | 保存文件：res://assets/voice/archway_form_beat_02.wav.import
[  29% ] savepack | 保存文件：res://.godot/imported/archway_form_beat_03.wav-f074ad716be681771ae3596a18297e67.sample
[  29% ] savepack | 保存文件：res://assets/voice/archway_form_beat_03.wav.import
[  29% ] savepack | 保存文件：res://.godot/imported/archway_form_before_battle.wav-3423d5385fd9a10dfc5d38e06f0c0503.sample
[  29% ] savepack | 保存文件：res://assets/voice/archway_form_before_battle.wav.import
[  30% ] savepack | 保存文件：res://.godot/imported/archway_form_clue_01.wav-d59b469ab4cfce1960cc405e9cf9f4fe.sample
[  30% ] savepack | 保存文件：res://assets/voice/archway_form_clue_01.wav.import
[  30% ] savepack | 保存文件：res://.godot/imported/archway_form_clue_02.wav-f61c4b94d82cfd0f3d2ae3202628e7ce.sample
[  30% ] savepack | 保存文件：res://assets/voice/archway_form_clue_02.wav.import
[  30% ] savepack | 保存文件：res://.godot/imported/archway_form_clue_03.wav-7d13c0ee23e73cb9b3a830c5dfaee7c0.sample
[  30% ] savepack | 保存文件：res://assets/voice/archway_form_clue_03.wav.import
[  31% ] savepack | 保存文件：res://.godot/imported/archway_form_dialogue_01.wav-d9db8feec903468065f1bdbd61b4623e.sample
[  31% ] savepack | 保存文件：res://assets/voice/archway_form_dialogue_01.wav.import
[  31% ] savepack | 保存文件：res://.godot/imported/archway_form_dialogue_02.wav-07604da149c3882e43c234011b7f762f.sample
[  31% ] savepack | 保存文件：res://assets/voice/archway_form_dialogue_02.wav.import
[  32% ] savepack | 保存文件：res://.godot/imported/archway_form_dialogue_03.wav-1b40e96c3b56c07e58d959a3cad10f4d.sample
[  32% ] savepack | 保存文件：res://assets/voice/archway_form_dialogue_03.wav.import
[  32% ] savepack | 保存文件：res://.godot/imported/archway_form_dialogue_04.wav-b156ba4c034d6f064e26d10753a7fe34.sample
[  32% ] savepack | 保存文件：res://assets/voice/archway_form_dialogue_04.wav.import
[  32% ] savepack | 保存文件：res://.godot/imported/archway_form_dialogue_05.wav-c223ba743a93637268c45856b04024b6.sample
[  32% ] savepack | 保存文件：res://assets/voice/archway_form_dialogue_05.wav.import
[  33% ] savepack | 保存文件：res://.godot/imported/archway_form_dialogue_06.wav-06942f75018adc01538e59d908cd5ff3.sample
[  33% ] savepack | 保存文件：res://assets/voice/archway_form_dialogue_06.wav.import
[  33% ] savepack | 保存文件：res://.godot/imported/archway_form_forget.wav-0d1ef173d54656893b7b73b52a2ade9f.sample
[  33% ] savepack | 保存文件：res://assets/voice/archway_form_forget.wav.import
[  33% ] savepack | 保存文件：res://.godot/imported/archway_form_keep.wav-31e50cfc0e5afba8e5d9295070a69415.sample
[  33% ] savepack | 保存文件：res://assets/voice/archway_form_keep.wav.import
[  33% ] savepack | 保存文件：res://.godot/imported/archway_form_outro.wav-b9a5f8d3a2089dec427bef17c420d01d.sample
[  33% ] savepack | 保存文件：res://assets/voice/archway_form_outro.wav.import
[  33% ] savepack | 保存文件：res://.godot/imported/failure_first_battle_requirements_not_met.wav-75285491d162a92839d722c76564827f.sample
[  33% ] savepack | 保存文件：res://assets/voice/failure_first_battle_requirements_not_met.wav.import
[  34% ] savepack | 保存文件：res://.godot/imported/failure_first_erosion_limit.wav-d99dbc1cbc2f20030a7369531c29affc.sample
[  34% ] savepack | 保存文件：res://assets/voice/failure_first_erosion_limit.wav.import
[  34% ] savepack | 保存文件：res://.godot/imported/failure_first_puzzle_attempt_limit.wav-32437312fcdb1ae7ed8c61b947af7c66.sample
[  34% ] savepack | 保存文件：res://assets/voice/failure_first_puzzle_attempt_limit.wav.import
[  35% ] savepack | 保存文件：res://.godot/imported/failure_first_session_expired.wav-f0c6d0c81c416948117e4b8ee2405492.sample
[  35% ] savepack | 保存文件：res://assets/voice/failure_first_session_expired.wav.import
[  35% ] savepack | 保存文件：res://.godot/imported/failure_line_01.wav-13def60eed820ff57c8d6d4c0b08174e.sample
[  35% ] savepack | 保存文件：res://assets/voice/failure_line_01.wav.import
[  35% ] savepack | 保存文件：res://.godot/imported/failure_line_02.wav-6bc34a868cdb503e9f53a3c4c133adb9.sample
[  35% ] savepack | 保存文件：res://assets/voice/failure_line_02.wav.import
[  36% ] savepack | 保存文件：res://.godot/imported/failure_line_03.wav-9e62f7bb63fdf81f80e8a944c5f767d6.sample
[  36% ] savepack | 保存文件：res://assets/voice/failure_line_03.wav.import
[  36% ] savepack | 保存文件：res://.godot/imported/failure_line_04.wav-5f4657bfb2854b1d254a93301b2fc18e.sample
[  36% ] savepack | 保存文件：res://assets/voice/failure_line_04.wav.import
[  37% ] savepack | 保存文件：res://.godot/imported/failure_line_05.wav-1a3466afb9bb3eab75b3a4f5759857db.sample
[  37% ] savepack | 保存文件：res://assets/voice/failure_line_05.wav.import
[  37% ] savepack | 保存文件：res://.godot/imported/failure_line_06.wav-0f9de7222ac47f3563b4f049c790740a.sample
[  37% ] savepack | 保存文件：res://assets/voice/failure_line_06.wav.import
[  37% ] savepack | 保存文件：res://.godot/imported/failure_line_07.wav-38b55b3d40db8100c7be803f5d61ab6d.sample
[  37% ] savepack | 保存文件：res://assets/voice/failure_line_07.wav.import
[  38% ] savepack | 保存文件：res://.godot/imported/failure_line_09.wav-74801f9b0bc91463fb18774d5c4ea012.sample
[  38% ] savepack | 保存文件：res://assets/voice/failure_line_09.wav.import
[  38% ] savepack | 保存文件：res://.godot/imported/fang_jiang_hun.wav-5b2df59411742ef49775fe2666efef83.sample
[  38% ] savepack | 保存文件：res://assets/voice/fang_jiang_hun.wav.import
[  38% ] savepack | 保存文件：res://.godot/imported/fang_wu_ming.wav-bb7d2d92dbf2925f3fce34fc9a84ea2a.sample
[  38% ] savepack | 保存文件：res://assets/voice/fang_wu_ming.wav.import
[  39% ] savepack | 保存文件：res://assets/voice/index.json
[  39% ] savepack | 保存文件：res://.godot/imported/opera_master_beat_01.wav-525026e5e91e4e1b4acecf294952f4e6.sample
[  39% ] savepack | 保存文件：res://assets/voice/opera_master_beat_01.wav.import
[  40% ] savepack | 保存文件：res://.godot/imported/opera_master_beat_02.wav-cd10395bd0797e69283d5b8595c04c26.sample
[  40% ] savepack | 保存文件：res://assets/voice/opera_master_beat_02.wav.import
[  40% ] savepack | 保存文件：res://.godot/imported/opera_master_beat_03.wav-281f7a9e1aa4f81623f418280449851b.sample
[  40% ] savepack | 保存文件：res://assets/voice/opera_master_beat_03.wav.import
[  40% ] savepack | 保存文件：res://.godot/imported/opera_master_before_battle.wav-59ffa20c283e777ad30c6bdb1b158f3a.sample
[  40% ] savepack | 保存文件：res://assets/voice/opera_master_before_battle.wav.import
[  41% ] savepack | 保存文件：res://.godot/imported/opera_master_clue_01.wav-35aa7defbd36cd85da45375b140f6101.sample
[  41% ] savepack | 保存文件：res://assets/voice/opera_master_clue_01.wav.import
[  41% ] savepack | 保存文件：res://.godot/imported/opera_master_clue_02.wav-273c10db0b6f22fd79afa6e5bad47228.sample
[  41% ] savepack | 保存文件：res://assets/voice/opera_master_clue_02.wav.import
[  42% ] savepack | 保存文件：res://.godot/imported/opera_master_clue_03.wav-63330df63561e484cb4ff4a02af13f9a.sample
[  42% ] savepack | 保存文件：res://assets/voice/opera_master_clue_03.wav.import
[  42% ] savepack | 保存文件：res://.godot/imported/opera_master_dialogue_01.wav-ca8bca5d4a4dc10f07a6afd45d1b8af9.sample
[  42% ] savepack | 保存文件：res://assets/voice/opera_master_dialogue_01.wav.import
[  42% ] savepack | 保存文件：res://.godot/imported/opera_master_dialogue_02.wav-825c9e622aae2eade6ae3a4b621c9100.sample
[  42% ] savepack | 保存文件：res://assets/voice/opera_master_dialogue_02.wav.import
[  43% ] savepack | 保存文件：res://.godot/imported/opera_master_dialogue_03.wav-f30f509960c3847f21753b96fb9e4f27.sample
[  43% ] savepack | 保存文件：res://assets/voice/opera_master_dialogue_03.wav.import
[  43% ] savepack | 保存文件：res://.godot/imported/opera_master_dialogue_04.wav-9ffc050ecc6436ddf9245895fc1d4f72.sample
[  43% ] savepack | 保存文件：res://assets/voice/opera_master_dialogue_04.wav.import
[  44% ] savepack | 保存文件：res://.godot/imported/opera_master_dialogue_05.wav-fb486d698d44f5e78896af06c591a1a9.sample
[  44% ] savepack | 保存文件：res://assets/voice/opera_master_dialogue_05.wav.import
[  44% ] savepack | 保存文件：res://.godot/imported/opera_master_dialogue_06.wav-ff088fd6de57eb7ef3a194e35f3fc917.sample
[  44% ] savepack | 保存文件：res://assets/voice/opera_master_dialogue_06.wav.import
[  44% ] savepack | 保存文件：res://.godot/imported/opera_master_first_clear.wav-cdba2aa2f15d5d8252f6f207a8b3b61e.sample
[  44% ] savepack | 保存文件：res://assets/voice/opera_master_first_clear.wav.import
[  45% ] savepack | 保存文件：res://.godot/imported/opera_master_forget.wav-acc38c0c15416cc40173229baaa37002.sample
[  45% ] savepack | 保存文件：res://assets/voice/opera_master_forget.wav.import
[  45% ] savepack | 保存文件：res://.godot/imported/opera_master_keep.wav-1c529b34ea161daac90b0819401ba2b7.sample
[  45% ] savepack | 保存文件：res://assets/voice/opera_master_keep.wav.import
[  46% ] savepack | 保存文件：res://.godot/imported/opera_master_outro.wav-ec1519670632ccc62efe0bd718b74826.sample
[  46% ] savepack | 保存文件：res://assets/voice/opera_master_outro.wav.import
[  46% ] savepack | 保存文件：res://.godot/imported/opera_opening_beat_01.wav-cc8162400ace774d477f234c3d9ec1b5.sample
[  46% ] savepack | 保存文件：res://assets/voice/opera_opening_beat_01.wav.import
[  46% ] savepack | 保存文件：res://.godot/imported/opera_opening_beat_02.wav-3d9890f7c085af1f39baf2c0e4e6fd5c.sample
[  46% ] savepack | 保存文件：res://assets/voice/opera_opening_beat_02.wav.import
[  47% ] savepack | 保存文件：res://.godot/imported/opera_opening_beat_03.wav-cd2ed34334c6b1dae5a34626b2639983.sample
[  47% ] savepack | 保存文件：res://assets/voice/opera_opening_beat_03.wav.import
[  47% ] savepack | 保存文件：res://.godot/imported/opera_opening_before_battle.wav-59631bf31fecf13c6e69a9e0e9abf261.sample
[  47% ] savepack | 保存文件：res://assets/voice/opera_opening_before_battle.wav.import
[  48% ] savepack | 保存文件：res://.godot/imported/opera_opening_clue_01.wav-447d769b78f5614c41799abad0d9080b.sample
[  48% ] savepack | 保存文件：res://assets/voice/opera_opening_clue_01.wav.import
[  48% ] savepack | 保存文件：res://.godot/imported/opera_opening_clue_02.wav-dfc9342fa5dd2c72781236a28f2e7dc3.sample
[  48% ] savepack | 保存文件：res://assets/voice/opera_opening_clue_02.wav.import
[  48% ] savepack | 保存文件：res://.godot/imported/opera_opening_clue_03.wav-6cdb76f8687e6f52ec249d806ebc5518.sample
[  48% ] savepack | 保存文件：res://assets/voice/opera_opening_clue_03.wav.import
[  49% ] savepack | 保存文件：res://.godot/imported/opera_opening_dialogue_01.wav-dad743e39fe623414419d767fe969099.sample
[  49% ] savepack | 保存文件：res://assets/voice/opera_opening_dialogue_01.wav.import
[  49% ] savepack | 保存文件：res://.godot/imported/opera_opening_dialogue_02.wav-8c938e0e7ff47ac549f0530f2a1159c1.sample
[  49% ] savepack | 保存文件：res://assets/voice/opera_opening_dialogue_02.wav.import
[  50% ] savepack | 保存文件：res://.godot/imported/opera_opening_dialogue_03.wav-49a860f2e102570d9239b402dd44d79c.sample
[  50% ] savepack | 保存文件：res://assets/voice/opera_opening_dialogue_03.wav.import
[  50% ] savepack | 保存文件：res://.godot/imported/opera_opening_dialogue_04.wav-5a70dddaac9bba61868dabaf3c017c83.sample
[  50% ] savepack | 保存文件：res://assets/voice/opera_opening_dialogue_04.wav.import
[  50% ] savepack | 保存文件：res://.godot/imported/opera_opening_dialogue_05.wav-71916fdd889444f05a9a09ccf8bac940.sample
[  50% ] savepack | 保存文件：res://assets/voice/opera_opening_dialogue_05.wav.import
[  51% ] savepack | 保存文件：res://.godot/imported/opera_opening_dialogue_06.wav-bb96cb3b9bb981b8bbc17534dc520b42.sample
[  51% ] savepack | 保存文件：res://assets/voice/opera_opening_dialogue_06.wav.import
[  51% ] savepack | 保存文件：res://.godot/imported/opera_opening_first_clear.wav-f949277bf4f137621e08e958104430b1.sample
[  51% ] savepack | 保存文件：res://assets/voice/opera_opening_first_clear.wav.import
[  51% ] savepack | 保存文件：res://.godot/imported/opera_opening_forget.wav-a85025b108e60a718e7d19075a6241f1.sample
[  51% ] savepack | 保存文件：res://assets/voice/opera_opening_forget.wav.import
[  52% ] savepack | 保存文件：res://.godot/imported/opera_opening_keep.wav-87c8ec87f14074e92ce05ea90a014550.sample
[  52% ] savepack | 保存文件：res://assets/voice/opera_opening_keep.wav.import
