行ID,类别,章节,事件,说话人,台词,状态,现有音频,所属音频组,建议音频文件名,字数
"temple_incense.clue.02","调查线索","第一章·社庙","temple_incense","","三道榫口由浅至深分布：先左、再中、最后右。受力靠咬合，而不靠把木头硬钉在一起。","待新增","","","temple_incense_clue_02.wav",39
"temple_incense.clue.03","调查线索","第一章·社庙","temple_incense","","供桌背面刻着捐木、送饭、搬石的记号，没有哪一笔比另一笔更大。","待新增","","","temple_incense_clue_03.wav",30
"temple_incense.beat.01","调查呓语","第一章·社庙","temple_incense","社庙","他们凑不出一根好木头，就把各家的余料抬来。那年春社，屋顶总算没有漏雨。","已有配音","temple_incense.wav","temple_incense.wav","temple_incense_beat_01.wav",35
"temple_incense.beat.02","调查呓语","第一章·社庙","temple_incense","拓印师","我以为你记着的是香火。","已有配音","temple_incense.wav","temple_incense.wav","temple_incense_beat_02.wav",11
"temple_incense.beat.03","调查呓语","第一章·社庙","temple_incense","社庙","也记着。可香下面，是来修屋顶的人。别只擦亮香炉，抬头看看梁。","已有配音","temple_incense.wav","temple_incense.wav","temple_incense_beat_03.wav",30
"temple_incense.before_battle.01","战前对话","第一章·社庙","temple_incense","社庙","梁刚稳住，白蚀还在拉扯榫口。用斗拱守住承重点。","待新增","","","temple_incense_before_battle.wav",23
"temple_incense.keep_response.01","记住回应","第一章·社庙","temple_incense","社庙","承住一座屋的，从来不只一根梁。你愿意记住他们，香就没有断。","待新增","","","temple_incense_keep.wav",29
"temple_incense.forget_response.01","遗忘回应","第一章·社庙","temple_incense","社庙","谱页腾出了位置。被放下的人仍曾来过，账册会替你记下这次取舍。","待新增","","","temple_incense_forget.wav",30
"temple_incense.outro.01","事件结语","第一章·社庙","temple_incense","","三块构件依次扣合，悬梁终于落稳。你没有凭空点起香火，只扶正了香炉。侧厢忽然传来一句：饭凉了，也请进来坐。","待新增","","","temple_incense_outro.wav",52
"temple_incense.echo.01","墨灵回声","第一章·社庙","temple_incense","墨灵回声","一炷香把一村人的愿望托给屋梁。","已有配音","she_cheng_xiang.wav","she_cheng_xiang.wav（墨灵：社·承香）","she_cheng_xiang.wav",15
"temple_guest.dialogue.01","开场对话","第一章·社庙","temple_guest","檐下谱","侧厢门楣缺了一个字，只剩‘□安’。半碗冷饭旁叠着一件补过的蓑衣。","待新增","","","temple_guest_dialogue_01.wav",32
"temple_guest.dialogue.02","开场对话","第一章·社庙","temple_guest","社庙·客声","那夜我浑身是雨，不敢跨过门槛。他却先把碗推了过来。","待新增","","","temple_guest_dialogue_02.wav",25
"temple_guest.dialogue.03","开场对话","第一章·社庙","temple_guest","拓印师","他认得你吗？","待新增","","","temple_guest_dialogue_03.wav",6
"temple_guest.dialogue.04","开场对话","第一章·社庙","temple_guest","社庙·客声","不认得。庙祝说，先让人安下心，才问他从哪里来。","待新增","","","temple_guest_dialogue_04.wav",23
"temple_guest.dialogue.05","开场对话","第一章·社庙","temple_guest","拓印师","不是热闹的平安，是让陌生人也能宁静下来。缺的是‘宁’。","待新增","","","temple_guest_dialogue_05.wav",27
"temple_guest.dialogue.06","开场对话","第一章·社庙","temple_guest","社庙","把它拓好吧。以后谁路过，都该知道这道门没有关。","待新增","","","temple_guest_dialogue_06.wav",23
"temple_guest.clue.01","调查线索","第一章·社庙","temple_guest","","旧碗边有两双筷子的磨痕。那碗饭曾被分成两份。","待新增","","","temple_guest_clue_01.wav",22
"temple_guest.clue.02","调查线索","第一章·社庙","temple_guest","","蓑衣补丁缝得很密，却没有留下主人的名字。这里的照料不以相识为条件。","待新增","","","temple_guest_clue_02.wav",33
"temple_guest.clue.03","调查线索","第一章·社庙","temple_guest","","门内残纸写着‘心宁而后身安’。缺字的答案就在待客的心意里。","待新增","","","temple_guest_clue_03.wav",29
"temple_guest.beat.01","调查呓语","第一章·社庙","temple_guest","社庙·客声","那夜我浑身是雨，不敢跨过门槛。他却先把碗推了过来。","已有配音","temple_guest.wav","temple_guest.wav","temple_guest_beat_01.wav",25
"temple_guest.beat.02","调查呓语","第一章·社庙","temple_guest","拓印师","他认得你吗？","已有配音","temple_guest.wav","temple_guest.wav","temple_guest_beat_02.wav",6
"temple_guest.beat.03","调查呓语","第一章·社庙","temple_guest","社庙·客声","不认得。庙祝说，先让人安下心，才问他从哪里来。","已有配音","temple_guest.wav","temple_guest.wav","temple_guest_beat_03.wav",23
"temple_guest.before_battle.01","战前对话","第一章·社庙","temple_guest","","守住檐下这份安宁。","待新增","","","temple_guest_before_battle.wav",9
"temple_guest.keep_response.01","记住回应","第一章·社庙","temple_guest","社庙·客声","记住这一点暖，就够我走过后来的长路。藻井的清明交给你。","待新增","","","temple_guest_keep.wav",27
"temple_guest.forget_response.01","遗忘回应","第一章·社庙","temple_guest","社庙·客声","你不再记得我的声音，也别忘了在别人淋雨时留一处屋檐。","待新增","","","temple_guest_forget.wav",26
"temple_guest.outro.01","事件结语","第一章·社庙","temple_guest","","‘宁安’回到门楣，冷饭的记忆升起一点温热。前坪有孩子敲着空碗喊：开社啦——可回应他的鼓声，迟迟没有响起。","待新增","","","temple_guest_outro.wav",52
"temple_guest.echo.01","墨灵回声","第一章·社庙","temple_guest","墨灵回声","檐下不拒客，一碗冷饭也分半碗。","已有配音","she_ning_an.wav","she_ning_an.wav（墨灵：社·宁安）","she_ning_an.wav",15
"temple_drum.dialogue.01","开场对话","第一章·社庙","temple_drum","檐下谱","前坪的社鼓蒙着白斑。槌柄上缠着一截褪色红绳，树下有深浅不同的脚印。","待新增","","","temple_drum_dialogue_01.wav",33
"temple_drum.dialogue.02","开场对话","第一章·社庙","temple_drum","社庙·童声","大家说我太小，敲不响鼓。我就在边上数：一、二、三！","待新增","","","temple_drum_dialogue_02.wav",25
"temple_drum.dialogue.03","开场对话","第一章·社庙","temple_drum","拓印师","你等的是春天，还是一起回来的人？","待新增","","","temple_drum_dialogue_03.wav",16
"temple_drum.dialogue.04","开场对话","第一章·社庙","temple_drum","社庙·童声","都有。鼓一响，卖糖的、唱戏的、在外做工的，就都挤进院子了。","待新增","","","temple_drum_dialogue_04.wav",29
"temple_drum.dialogue.05","开场对话","第一章·社庙","temple_drum","社庙","白蚀遮住了纹样。先用藻井洗去灰白，再沿旧墨线拓印。","待新增","","","temple_drum_dialogue_05.wav",25
"temple_drum.dialogue.06","开场对话","第一章·社庙","temple_drum","拓印师","这回不用等谁来敲第一下。我们一起。","待新增","","","temple_drum_dialogue_06.wav",17
"temple_drum.clue.01","调查线索","第一章·社庙","temple_drum","","鼓面白斑下面藏着回旋纹，说明纹样仍在，先净化才能看清。","待新增","","","temple_drum_clue_01.wav",27
"temple_drum.clue.02","调查线索","第一章·社庙","temple_drum","","红绳打成三个结，孩子曾用它记鼓点，也记归来的人数。","待新增","","","temple_drum_clue_02.wav",25
"temple_drum.clue.03","调查线索","第一章·社庙","temple_drum","","树下的旧脚印绕鼓成圈。春社是人重新相聚的日子。","待新增","","","temple_drum_clue_03.wav",23
"temple_drum.beat.01","调查呓语","第一章·社庙","temple_drum","社庙·童声","大家说我太小，敲不响鼓。我就在边上数：一、二、三！","已有配音","temple_drum.wav","temple_drum.wav","temple_drum_beat_01.wav",25
"temple_drum.beat.02","调查呓语","第一章·社庙","temple_drum","拓印师","你等的是春天，还是一起回来的人？","已有配音","temple_drum.wav","temple_drum.wav","temple_drum_beat_02.wav",16
"temple_drum.beat.03","调查呓语","第一章·社庙","temple_drum","社庙·童声","都有。鼓一响，卖糖的、唱戏的、在外做工的，就都挤进院子了。","已有配音","temple_drum.wav","temple_drum.wav","temple_drum_beat_03.wav",29
"temple_drum.before_battle.01","战前对话","第一章·社庙","temple_drum","社庙","鼓声把白蚀引来了。施展藻井净化，再用挥墨护住鼓面。","待新增","","","temple_drum_before_battle.wav",25
"temple_drum.keep_response.01","记住回应","第一章·社庙","temple_drum","社庙·童声","听见了吗？这一次，我也敲响了！","待新增","","","temple_drum_keep.wav",15
"temple_drum.forget_response.01","遗忘回应","第一章·社庙","temple_drum","社庙","新鼓声响起，旧声音渐远。你失去一段私人的回声，却没有失去继续守护的手艺。","待新增","","","temple_drum_forget.wav",36
"temple_drum.outro.01","事件结语","第一章·社庙","temple_drum","","鼓声越过空院，枝头红绳轻晃。檐下谱多展开一格，心舍可以容纳六道记忆。远处戏楼以一声锣响回应，仿佛有人终于等到开场。","待新增","","","temple_drum_outro.wav",57
"temple_drum.chapter_outro.01","章末结语","第一章·社庙","temple_drum","","东南方传来若有若无的锣鼓声。呓语：‘戏楼要开场了。可是那锣鼓，怎么越敲越远……’","待新增","","","temple_drum_chapter_outro.wav",40
"temple_drum.echo.01","墨灵回声","第一章·社庙","temple_drum","墨灵回声","鼓声唤回春社，也唤回孩子们的脚步。","已有配音","she_hui_chun.wav","she_hui_chun.wav（墨灵：社·回春）","she_hui_chun.wav",17
"opera_opening.dialogue.01","开场对话","第二章·戏楼","opera_opening","檐下谱","戏楼里只亮着一盏台灯。水袖从行头箱垂下，锣鼓声总少了半拍。","待新增","","","opera_opening_dialogue_01.wav",29
"opera_opening.dialogue.02","开场对话","第二章·戏楼","opera_opening","戏楼","台上的人以为没人来了，不肯开嗓。台下的人以为不开戏了，也不肯落座。","待新增","","","opera_opening_dialogue_02.wav",33
"opera_opening.dialogue.03","开场对话","第二章·戏楼","opera_opening","拓印师","总得有人先开口。","待新增","","","opera_opening_dialogue_03.wav",8
"opera_opening.dialogue.04","开场对话","第二章·戏楼","opera_opening","戏楼·旦角回声","我是旦角，不是箱上那块褪色的标签。先替我找回水袖，再把唱腔里的行墨拓下来。","待新增","","","opera_opening_dialogue_04.wav",37
"opera_opening.dialogue.05","开场对话","第二章·戏楼","opera_opening","拓印师","你最想唱给谁听？","待新增","","","opera_opening_dialogue_05.wav",8
"opera_opening.dialogue.06","开场对话","第二章·戏楼","opera_opening","戏楼·旦角回声","唱给愿意停下的人。哪怕台下只有一人，这一声也该完整。","待新增","","","opera_opening_dialogue_06.wav",26
"opera_opening.clue.01","调查线索","第二章·戏楼","opera_opening","","水袖柔长，旁边的戏单还辨得‘旦’字。角色线索来自行头与戏单。","待新增","","","opera_opening_clue_01.wav",30
"opera_opening.clue.02","调查线索","第二章·戏楼","opera_opening","","锣边磨出一个小小缺口，许多代开场都敲在同一处。","待新增","","","opera_opening_clue_02.wav",23
"opera_opening.clue.03","调查线索","第二章·戏楼","opera_opening","","台口记着一段起落墨线，唱腔虽散，行腔的节奏还在。","待新增","","","opera_opening_clue_03.wav",24
"opera_opening.beat.01","调查呓语","第二章·戏楼","opera_opening","戏楼","台上的人以为没人来了，不肯开嗓。台下的人以为不开戏了，也不肯落座。","需重做（现复用 xi_xing_qiang.wav）","xi_xing_qiang.wav","opera_opening.wav（待新建）","opera_opening_beat_01.wav",33
"opera_opening.beat.02","调查呓语","第二章·戏楼","opera_opening","拓印师","总得有人先开口。","需重做（现复用 xi_xing_qiang.wav）","xi_xing_qiang.wav","opera_opening.wav（待新建）","opera_opening_beat_02.wav",8
"opera_opening.beat.03","调查呓语","第二章·戏楼","opera_opening","戏楼·旦角回声","我是旦角，不是箱上那块褪色的标签。先替我找回水袖，再把唱腔里的行墨拓下来。","需重做（现复用 xi_xing_qiang.wav）","xi_xing_qiang.wav","opera_opening.wav（待新建）","opera_opening_beat_03.wav",37
"opera_opening.before_battle.01","战前对话","第二章·戏楼","opera_opening","戏楼","白蚀吞掉了台口的回声。施展飞檐破开灰幕，再让唱腔回到台上。","待新增","","","opera_opening_before_battle.wav",29
"opera_opening.keep_response.01","记住回应","第二章·戏楼","opera_opening","戏楼","飞檐把一口气送得更远。接住它，也替台下的人留一个座位。","待新增","","","opera_opening_keep.wav",27
"opera_opening.forget_response.01","遗忘回应","第二章·戏楼","opera_opening","戏楼","你放下了旧回声。没有人能独自装下整座戏楼，唱过的这一声会留在账册。","待新增","","","opera_opening_forget.wav",33
"opera_opening.outro.01","事件结语","第二章·戏楼","opera_opening","","开场锣终于落在完整的一拍上。你抬头看见二楼空座间浮出一点灯火，后台的旧戏服却轻轻落泪：还有半句绝唱，没人敢接。","待新增","","","opera_opening_outro.wav",55
"opera_opening.first_clear.01","首通呓语","第二章·戏楼","opera_opening","","锣敲对了。台下多了一个人——他从头到尾没有鼓掌，只在最后轻声问了一句。","待新增","","","opera_opening_first_clear.wav",35
"opera_opening.echo.01","墨灵回声","第二章·戏楼","opera_opening","墨灵回声","一腔唱尽台上台下的悲欢。","已有配音","xi_xing_qiang.wav","xi_xing_qiang.wav（墨灵：戏·行腔）","xi_xing_qiang.wav",12
"opera_master.dialogue.01","开场对话","第二章·戏楼","opera_master","檐下谱","后台并排放着一双大戏鞋和一双小戏鞋。布景散落，旧戏服仍朝着台口。","待新增","","","opera_master_dialogue_01.wav",32
"opera_master.dialogue.02","开场对话","第二章·戏楼","opera_master","戏楼·师父回声","他们只想记住我最响亮的一声，却不肯留下孩子唱错的那一句。","待新增","","","opera_master_dialogue_02.wav",28
"opera_master.dialogue.03","开场对话","第二章·戏楼","opera_master","拓印师","因为那句不够好听？","待新增","","","opera_master_dialogue_03.wav",9
"opera_master.dialogue.04","开场对话","第二章·戏楼","opera_master","戏楼·师父回声","可我把最后一口气，用来教他接下一句。若只剩我的绝唱，这门手艺便到我为止。","待新增","","","opera_master_dialogue_04.wav",36
"opera_master.dialogue.05","开场对话","第二章·戏楼","opera_master","拓印师","我会把梅字台步与中央布景归好，也记住那个还在学的人。","待新增","","","opera_master_dialogue_05.wav",26
"opera_master.dialogue.06","开场对话","第二章·戏楼","opera_master","戏楼","谱页有限，抉择会痛。但别把‘不完美’误认成‘不值得’。","待新增","","","opera_master_dialogue_06.wav",27
"opera_master.clue.01","调查线索","第二章·戏楼","opera_master","","师父在地上画了一枝梅，弟子的台步总从‘梅’位起。","待新增","","","opera_master_clue_01.wav",24
"opera_master.clue.02","调查线索","第二章·戏楼","opera_master","","中央布景留出一扇门，让后来的人可以登台。","待新增","","","opera_master_clue_02.wav",20
"opera_master.clue.03","调查线索","第二章·戏楼","opera_master","","小戏鞋边的墨迹被改过许多次。练习的痕迹也是传承的一部分。","待新增","","","opera_master_clue_03.wav",28
"opera_master.beat.01","调查呓语","第二章·戏楼","opera_master","戏楼·师父回声","他们只想记住我最响亮的一声，却不肯留下孩子唱错的那一句。","需重做（现复用 xi_jue_chang.wav）","xi_jue_chang.wav","opera_master.wav（待新建）","opera_master_beat_01.wav",28
"opera_master.beat.02","调查呓语","第二章·戏楼","opera_master","拓印师","因为那句不够好听？","需重做（现复用 xi_jue_chang.wav）","xi_jue_chang.wav","opera_master.wav（待新建）","opera_master_beat_02.wav",9
"opera_master.beat.03","调查呓语","第二章·戏楼","opera_master","戏楼·师父回声","可我把最后一口气，用来教他接下一句。若只剩我的绝唱，这门手艺便到我为止。","需重做（现复用 xi_jue_chang.wav）","xi_jue_chang.wav","opera_master.wav（待新建）","opera_master_beat_03.wav",36
"opera_master.before_battle.01","战前对话","第二章·戏楼","opera_master","戏楼","护住通向后台的门。用飞檐驱散白蚀，给后来的人留出登台的位置。","待新增","","","opera_master_before_battle.wav",30
"opera_master.keep_response.01","记住回应","第二章·戏楼","opera_master","戏楼·师父回声","别替他唱完。听他慢慢学，会有他自己的声音。","待新增","","","opera_master_keep.wav",21
"opera_master.forget_response.01","遗忘回应","第二章·戏楼","opera_master","戏楼","一页旧声退去了。你亲手做过的选择，比一张无瑕的谱更需要被诚实记下。","待新增","","","opera_master_forget.wav",33
"opera_master.outro.01","事件结语","第二章·戏楼","opera_master","","你没有让绝唱永远循环，而是替它接上了一句尚显稚嫩的新声。通往石牌坊的门打开了，门后有人问：一座留名的坊，为什么没有匠人的名字？","待新增","","","opera_master_outro.wav",63
"opera_master.first_clear.01","首通呓语","第二章·戏楼","opera_master","","唱完了。……为什么要演奏春日影？","待新增","","","opera_master_first_clear.wav",16
"opera_master.echo.01","墨灵回声","第二章·戏楼","opera_master","墨灵回声","记住绝唱，就要面对被抹去的童年社戏。","已有配音","xi_jue_chang.wav","xi_jue_chang.wav（墨灵：戏·绝唱）","xi_jue_chang.wav",18
"archway_form.dialogue.01","开场对话","第三章·牌坊","archway_form","檐下谱","牌坊横跨旧道，碑额上的名字十分清楚，柱脚的凿痕却几乎消失。","待新增","","","archway_form_dialogue_01.wav",29
"archway_form.dialogue.02","开场对话","第三章·牌坊","archway_form","牌坊","路过的人总仰头念名字，很少低头看我怎么站着。","待新增","","","archway_form_dialogue_02.wav",22
"archway_form.dialogue.03","开场对话","第三章·牌坊","archway_form","拓印师","四根柱子，三处开间。把中央构件归位，重量才传得到两侧。","待新增","","","archway_form_dialogue_03.wav",27
"archway_form.dialogue.04","开场对话","第三章·牌坊","archway_form","牌坊","你看见规制了。再往下看，石脚背面有一排没有署名的手印。","待新增","","","archway_form_dialogue_04.wav",27
"archway_form.dialogue.05","开场对话","第三章·牌坊","archway_form","拓印师","建造它的人，为什么没有自己的位置？","待新增","","","archway_form_dialogue_05.wav",17
"archway_form.dialogue.06","开场对话","第三章·牌坊","archway_form","牌坊","也许他们没来得及写。也许有人觉得不必写。你可以从今天开始读。","待新增","","","archway_form_dialogue_06.wav",30
"archway_form.clue.01","调查线索","第三章·牌坊","archway_form","","柱脚完整保存四个承重点，中间形成三个通道，对应四柱三间。","待新增","","","archway_form_clue_01.wav",28
"archway_form.clue.02","调查线索","第三章·牌坊","archway_form","","中央榫槽磨痕最深，是连接两侧构件的受力节点。","待新增","","","archway_form_clue_02.wav",22
"archway_form.clue.03","调查线索","第三章·牌坊","archway_form","","石背留着搬运者的手印，大小不同，没有一只手能独自举起整块石头。","待新增","","","archway_form_clue_03.wav",31
"archway_form.beat.01","调查呓语","第三章·牌坊","archway_form","牌坊","路过的人总仰头念名字，很少低头看我怎么站着。","需重做（现复用 fang_wu_ming.wav）","fang_wu_ming.wav","archway_form.wav（待新建）","archway_form_beat_01.wav",22
"archway_form.beat.02","调查呓语","第三章·牌坊","archway_form","拓印师","四根柱子，三处开间。把中央构件归位，重量才传得到两侧。","需重做（现复用 fang_wu_ming.wav）","fang_wu_ming.wav","archway_form.wav（待新建）","archway_form_beat_02.wav",27
"archway_form.beat.03","调查呓语","第三章·牌坊","archway_form","牌坊","你看见规制了。再往下看，石脚背面有一排没有署名的手印。","需重做（现复用 fang_wu_ming.wav）","fang_wu_ming.wav","archway_form.wav（待新建）","archway_form_beat_03.wav",27
"archway_form.before_battle.01","战前对话","第三章·牌坊","archway_form","牌坊","白蚀正抹平柱脚手印。施展飞檐越过灰幕，护住承重节点。","待新增","","","archway_form_before_battle.wav",26
"archway_form.keep_response.01","记住回应","第三章·牌坊","archway_form","牌坊","你记住了无名者，石头才不只替显赫的人说话。","待新增","","","archway_form_keep.wav",21
"archway_form.forget_response.01","遗忘回应","第三章·牌坊","archway_form","牌坊","旧名字的回声离开了心舍。你仍可以选择把无名者的位置留在世界上。","待新增","","","archway_form_forget.wav",31
"archway_form.outro.01","事件结语","第三章·牌坊","archway_form","","中央构件归位，牌坊重新立稳。柱脚的手印一一显现，其中一只手指向背面的营造刻痕：那里没有名字，却有一套清楚的做法。","待新增","","","archway_form_outro.wav",56
"archway_form.echo.01","墨灵回声","第三章·牌坊","archway_form","墨灵回声","无名匠人的手艺也值得被记住。","已有配音","fang_wu_ming.wav","fang_wu_ming.wav（墨灵：坊·无名）","fang_wu_ming.wav",14
"archway_craftsman.dialogue.01","开场对话","第三章·牌坊","archway_craftsman","檐下谱","背面的营造记录写满尺寸，署名处却空着。凿子与木屑落在石台边。","待新增","","","archway_craftsman_dialogue_01.wav",30
"archway_craftsman.dialogue.02","开场对话","第三章·牌坊","archway_craftsman","牌坊·匠人回声","若后人知道怎样修它，不知道我的名字，也不算白做。","待新增","","","archway_craftsman_dialogue_02.wav",24
"archway_craftsman.dialogue.03","开场对话","第三章·牌坊","archway_craftsman","拓印师","可我还是想替你补上。","待新增","","","archway_craftsman_dialogue_03.wav",10
"archway_craftsman.dialogue.04","开场对话","第三章·牌坊","archway_craftsman","牌坊·匠人回声","别猜。猜出来的名字会盖住真正的空白。记下你确实看见的手、工具和做法。","待新增","","","archway_craftsman_dialogue_04.wav",34
"archway_craftsman.dialogue.05","开场对话","第三章·牌坊","archway_craftsman","拓印师","用斗拱承住构件，再借飞檐点亮高处刻痕。让别人也能照着修。","待新增","","","archway_craftsman_dialogue_05.wav",28
"archway_craftsman.dialogue.06","开场对话","第三章·牌坊","archway_craftsman","牌坊·匠人回声","这就对了。传下去的不是一块永不坏的石头，是坏了以后仍有人肯修。","待新增","","","archway_craftsman_dialogue_06.wav",31
"archway_craftsman.clue.01","调查线索","第三章·牌坊","archway_craftsman","","凿口有三层深浅，显示构件曾被不同的手修过。","待新增","","","archway_craftsman_clue_01.wav",21
"archway_craftsman.clue.02","调查线索","第三章·牌坊","archway_craftsman","","尺寸记号相互呼应，低处承重点需要斗拱稳住。","待新增","","","archway_craftsman_clue_02.wav",21
"archway_craftsman.clue.03","调查线索","第三章·牌坊","archway_craftsman","","高处刻痕反光微弱，借飞檐的灵动才能让整段记录显影。","待新增","","","archway_craftsman_clue_03.wav",25
"archway_craftsman.beat.01","调查呓语","第三章·牌坊","archway_craftsman","牌坊·匠人回声","若后人知道怎样修它，不知道我的名字，也不算白做。","需重做（现复用 fang_jiang_hun.wav）","fang_jiang_hun.wav","archway_craftsman.wav（待新建）","archway_craftsman_beat_01.wav",24
"archway_craftsman.beat.02","调查呓语","第三章·牌坊","archway_craftsman","拓印师","可我还是想替你补上。","需重做（现复用 fang_jiang_hun.wav）","fang_jiang_hun.wav","archway_craftsman.wav（待新建）","archway_craftsman_beat_02.wav",10
"archway_craftsman.beat.03","调查呓语","第三章·牌坊","archway_craftsman","牌坊·匠人回声","别猜。猜出来的名字会盖住真正的空白。记下你确实看见的手、工具和做法。","需重做（现复用 fang_jiang_hun.wav）","fang_jiang_hun.wav","archway_craftsman.wav（待新建）","archway_craftsman_beat_03.wav",34
"archway_craftsman.before_battle.01","战前对话","第三章·牌坊","archway_craftsman","牌坊","两波白蚀正冲击梁柱。斗拱承重，飞檐破障，把所学连成一次真正的修复。","待新增","","","archway_craftsman_before_battle.wav",33
"archway_craftsman.keep_response.01","记住回应","第三章·牌坊","archway_craftsman","牌坊·匠人回声","不必替我编一个响亮的名字。把修它的办法交给下个人。","待新增","","","archway_craftsman_keep.wav",25
"archway_craftsman.forget_response.01","遗忘回应","第三章·牌坊","archway_craftsman","牌坊","你亲手抹去一页，也看见留下的人并非完整。愿你承认缺口，而不编造补白。","待新增","","","archway_craftsman_forget.wav",34
